;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);6554;4396;4104;2;24;;1;1186;446;409;1562;646;15;5;5501;
2;в том числе:       руководящие работники – всего;438;401;362;;4;;;28;3;5;150;23;1;;344;
3;из них:             директор;132;131;127;;1;;;;;;59;6;;;100;
4;заместители директора;298;262;225;;3;;;22;2;4;85;16;;;236;
5;руководитель филиала;;;;;;;;;;;;;;;;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);4262;3736;3640;2;20;;1;460;434;3;1408;621;14;5;3844;3526.3
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);3665;3249;3192;2;17;;1;373;365;1;1334;561;13;5;3275;3012.9
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1083;859;853;;1;;;218;217;;388;206;1;1;1082;877.4
9;русского языка и литературы;451;435;435;1;6;;;10;9;;203;62;3;;444;
10;языка народов России и литературы;159;152;150;;2;;;6;6;;91;14;2;1;157;
11;истории, экономики, права, обществознания;228;217;210;;3;;;9;9;;83;27;2;;187;
12;информатики;75;64;57;;;;;8;6;;20;9;;;49;
13;физики;99;97;94;;;;;2;2;;36;13;;;64;
14;математики;309;301;300;;;;;6;6;1;114;41;1;;284;
15;химии;77;75;73;;1;;;2;2;;38;10;1;;72;
16;географии;104;96;95;;;;;6;6;;43;14;;;91;
17;биологии;113;110;107;1;1;;;2;2;;49;15;;;110;
18;иностранных языков;357;344;339;;2;;;11;11;;91;64;1;1;347;
19;из них:                         английского языка;334;313;309;;2;;;10;10;;73;56;1;1;324;
20;немецкого языка;15;15;15;;;;;;;;10;2;;;15;
21;французского языка;8;8;8;;;;;;;;4;1;;;8;
22;китайского языка;;;;;;;;;;;;;;;;
23;физической культуры;223;189;186;;;;;29;29;;60;34;;1;95;
24;труда (технологии);134;104;96;;1;;1;23;20;;35;20;1;1;98;
25;музыки и пения;72;61;60;;;;;9;9;;26;17;1;;71;
26;изобразительного искусства, черчения;68;45;44;;;;;22;22;;24;5;;;66;
27;основ безопасности и защиты Родины;60;54;51;;;;;6;5;;26;7;;;9;
28;основ духовно-нравственной культуры народов России;9;9;9;;;;;;;;1;;;;9;
29;прочих предметов;44;37;33;;;;;4;4;;6;3;;;40;
30;учителя-логопеды;48;47;46;;;;;1;1;;11;8;1;;48;33
31;учителя-дефектологи;21;20;19;;1;;;1;1;;1;1;;;21;18.3
32;из них:                   олигофренопедагог;7;7;7;;;;;;;;1;;;;7;5.8
33;тифлопедагог;3;3;2;;;;;;;;;;;;3;3
34;сурдопедагог;1;1;1;;;;;;;;;;;;1;1
35;социальные педагоги;67;61;55;;;;;6;4;;7;11;;;65;48.8
36;педагоги дополнительного образования;53;43;35;;1;;;9;7;;2;3;;;39;44.5
37;педагоги-психологи;118;116;110;;1;;;1;1;1;27;11;;;111;83.1
38;воспитатели;113;82;78;;;;;31;25;;18;13;;;113;108.1
39;мастера производственного обучения;;;;;;;;;;;;;;;;
40;тьюторы;54;27;22;;;;;14;10;;;2;;;54;23.5
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;37;34;33;;;;;2;2;;2;4;;;36;23.8
42;другие;86;57;50;;;;;22;18;1;6;7;;;82;57.7
43;учебно-вспомогательный персонал;325;139;61;;;;;103;3;34;3;2;;;248;
44;иной персонал;1529;120;41;;;;;595;6;367;1;;;;1065;
45;из них:             ассистент (помощник);6;;;;;;;2;;;;;;;5;5
46;сурдопереводчик;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;87;51;47;;;;;26;18;;2;9;;;87;
49;из них воспитатели;63;38;35;;;;;24;17;;2;9;;;63;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;59;57;53;;1;;;1;1;;12;6;;;45;
51;из них учителя;55;53;49;;1;;;1;1;;12;6;;;43;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;164;140;128;;1;;;15;13;;39;13;3;3;70;
53;из них учителя - всего;99;86;83;;;;;7;6;;20;7;;;26;
54;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;10;8;8;;;;;1;1;;;3;;;4;
55;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;1190;955;881;;4;;;88;81;;254;120;;;609;
56;Из общей численности учителей-дефектологов (строка 31 графа 3) - учителя, имеющие специальное дефектологическое образование;7;7;;;;;;;;;;;;;;
57;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из стр. 02, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;341;;;;;;;;;;;;;;;
