;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);384;215;215.4
2;в том числе:       руководящие работники – всего;8;6;4
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);245;158;126.8
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);182;117;92.8
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;3;3;2.6
6;русского языка и литературы;12;12;5.3
7;языка народов России и литературы;5;5;1.7
8;истории, экономики, права, обществознания;9;7;4.6
9;информатики;12;6;6.8
10;физики;9;4;6
11;математики;12;10;8.4
12;химии;13;12;7.9
13;географии;5;5;2.6
14;биологии;6;5;2.8
15;иностранных языков;11;11;6.2
16;из них:                      английского языка;10;10;5.7
17;немецкого языка;1;1;0.5
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;27;7;20.2
21;труда (технологии);4;3;3.1
22;музыки и пения;15;12;9.8
23;изобразительного искусства, черчения;2;2;1.1
24;основ безопасности и защиты Родины;12;2;4.8
25;основ духовно-нравственной культуры народов России;;;
26;прочих предметов;25;11;10
27;учителя-логопеды;5;5;3.5
28;учителя-дефектологи;4;4;2.6
29;из них:                олигофренопедагог;1;1;0.6
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;4;4;3
33;педагоги дополнительного образования;25;9;12.7
34;педагоги-психологи;4;2;2
35;воспитатели;;;
36;мастера производственного обучения;;;
37;тьюторы;8;8;4
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;2;2;1.5
39;другие;11;7;6.8
40;учебно-вспомогательный персонал;29;14;15.8
41;иной персонал;102;37;60.7
42;из них:             ассистент(помощник);2;2;0.5
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;2;1;1.5
46;из них воспитатели;;;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;8;4;3.6
48;из них учителя;8;4;3.6
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);6;;
53;из них женщин;5;;
54;в том числе:          врачи всех специальностей;2;;
55;медицинские сестры;4;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;137;;
