;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);125;23;453;262
2;в том числе       инженерные;1;;28;
3;медицинские;1;1;15;22
4;космические;;;;
5;педагогические;41;20;157;206
6;аграрные;2;;28;
7;предпринимательские;;;;
8;кадетские;79;2;202;34
9;IT-классы;;;;
10;другие;1;;23;
