;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);3218;1087;1576;544;1;3;;7;127;3131;49;38
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;24;10;10;4;;;;;;24;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;12;2;6;4;;;;;;12;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;2556;1060;1309;176;1;3;;7;;2556;;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;98;26;54;11;;;;7;;98;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;;;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;229;;100;129;;;;;;227;1;1
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;184;;49;135;;;;;;177;2;5
10;в связи с переходом на семейное образование и самообразование;72;15;42;15;;;;;;66;;6
11;по болезни;;;;;;;;;;;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;81;;45;36;;;;;79;57;20;4
13;выбыло по другим причинам;72;2;21;49;;;;;48;24;26;22
