;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);6842;3945;3747;1;16;;5;1587;749;544;737;1063;2;15;5360;
2;в том числе:       руководящие работники – всего;464;435;409;;1;;2;24;16;3;91;80;;1;378;
3;из них:             директор;142;135;130;;;;;5;4;;25;20;;;115;
4;заместители директора;307;285;263;;;;2;14;6;2;59;50;;1;248;
5;руководитель филиала;13;9;8;;;;;4;4;;;1;;;12;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);4055;3288;3203;1;15;;3;728;693;5;645;976;;12;3499;1245.7
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);3409;2808;2759;;14;;3;572;553;5;622;918;;11;2909;1049.2
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;898;572;570;;;;;317;314;4;148;288;;4;895;293.2
9;русского языка и литературы;393;377;372;;2;;1;14;13;;86;100;;2;377;
10;языка народов России и литературы;170;161;160;;1;;;8;8;;71;42;;1;168;
11;истории, экономики, права, обществознания;238;233;231;;3;;;5;5;;58;65;;1;197;
12;информатики;80;78;78;;;;;2;1;;20;19;;;48;
13;физики;98;96;93;;;;;2;2;;16;23;;;54;
14;математики;321;313;303;;2;;;6;5;;59;80;;1;281;
15;химии;89;86;85;;2;;1;3;2;;18;32;;;84;
16;географии;110;108;105;;1;;;2;2;;24;36;;;100;
17;биологии;98;96;94;;1;;;1;1;;18;32;;1;95;
18;иностранных языков;293;281;277;;1;;1;11;11;;37;68;;1;277;
19;из них:                         английского языка;285;272;264;;1;;1;11;10;;29;62;;1;270;
20;немецкого языка;7;7;7;;;;;;;;3;1;;;7;
21;французского языка;;;;;;;;;;;;;;;;
22;китайского языка;;;;;;;;;;;;;;;;
23;физической культуры;237;132;130;;;;;98;95;;21;54;;;57;
24;труда (технологии);143;92;88;;;;;50;44;1;26;32;;;89;
25;музыки и пения;58;36;31;;;;;21;19;;10;13;;;48;
26;изобразительного искусства, черчения;36;25;25;;;;;11;10;;2;12;;;31;
27;основ безопасности и защиты Родины;32;26;23;;;;;5;5;;1;10;;;2;
28;основ духовно-нравственной культуры народов России;2;1;1;;;;;1;1;;;;;;2;
29;прочих предметов;113;95;93;;1;;;15;15;;7;12;;;104;
30;учителя-логопеды;50;41;41;;1;;;9;9;;5;3;;;50;11.8
31;учителя-дефектологи;26;25;25;;;;;1;1;;1;3;;1;26;6
32;из них:                   олигофренопедагог;2;2;2;;;;;;;;;;;;2;
33;тифлопедагог;;;;;;;;;;;;;;;;
34;сурдопедагог;1;1;1;;;;;;;;;1;;1;1;
35;социальные педагоги;56;45;42;;;;;10;9;;2;5;;;56;11
36;педагоги дополнительного образования;53;36;27;1;;;;14;13;;2;2;;;41;8.2
37;педагоги-психологи;108;103;100;;;;;4;4;;5;19;;;105;27.4
38;воспитатели;150;82;76;;;;;67;57;;4;12;;;124;55.1
39;мастера производственного обучения;;;;;;;;;;;;;;;;
40;тьюторы;22;13;12;;;;;9;9;;;;;;22;3
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;55;39;38;;;;;16;16;;1;4;;;50;7
