;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);329;219;144.8
2;в том числе:       руководящие работники – всего;7;6;4.9
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);197;141;82.8
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);142;106;57.5
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;15;15;5.8
6;русского языка и литературы;15;14;10.3
7;языка народов России и литературы;4;3;3.6
8;истории, экономики, права, обществознания;9;7;6.3
9;информатики;9;6;2.8
10;физики;8;3;1.5
11;математики;7;4;4.3
12;химии;4;4;2.7
13;географии;4;3;2.1
14;биологии;7;5;2.8
15;иностранных языков;17;13;6.7
16;из них:                      английского языка;17;13;6.7
17;немецкого языка;;;
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;10;1;3.3
21;труда (технологии);8;6;3.7
22;музыки и пения;5;5;1.1
23;изобразительного искусства, черчения;3;3;1
24;основ безопасности и защиты Родины;3;1;1.4
25;основ духовно-нравственной культуры народов России;;;
26;прочих предметов;14;13;8.8
27;учителя-логопеды;1;1;0.5
28;учителя-дефектологи;2;2;0.4
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;2;2;1
33;педагоги дополнительного образования;36;18;18.4
34;педагоги-психологи;6;6;4.1
35;воспитатели;1;;1
36;мастера производственного обучения;;;
37;тьюторы;;;
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;2;2;0.5
39;другие;5;4;1.3
40;учебно-вспомогательный персонал;16;7;5.5
41;иной персонал;109;65;54.5
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;1;1;
46;из них воспитатели;;;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;3;;
48;из них учителя;3;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);1;;
53;из них женщин;1;;
54;в том числе:          врачи всех специальностей;;;
55;медицинские сестры;1;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;62;;
