;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Организация имеет особенности;486
2;Организация при осуществлении образовательной деятельности:     является интернатом;52
3;имеет интернат (заполняют организации, указавшие в строке 02 код «0»);65
4;является вечерней (сменной);
5;имеет классы очно-заочного и заочного обучения (заполняет организация,    указавшая в строке 04 код «0»);3
6;является отдельной общеобразовательной организацией для обучающихся с    ограниченными возможностями здоровья;38
7;в том числе для:           глухих;4
8;слабослышащих и позднооглохших;7
9;слепых;2
10;слабовидящих;3
11;с тяжелыми нарушениями речи;4
12;с нарушениями опорно-двигательного аппарата;5
13;с задержкой психического развития;13
14;с расстройствами аутистического спектра;9
15;со сложными дефектами;8
16;с умственной отсталостью (интеллектуальными нарушениями);28
17;имеет отдельные классы для обучающихся с ограниченными возможностями    здоровья (заполняют организации, указавшие в строке 06 код «0»);80
18;является организацией (учреждением):       специальным учебно-воспитательным учреждением для обучающихся с       девиантным (общественно опасным) поведением;1
19;для детей дошкольного и младшего школьного возраста;29
20;для обучающихся, нуждающихся в длительном лечении;3
21;для обучающихся, нуждающихся в психолого-педагогической медицинской       и социальной помощи;2
22;для детей-сирот и детей, оставшихся без попечения родителей;1
23;центром образования;20
24;создана в уголовно-исполнительной системе;
25;обеспечивает углубленную подготовку:       организация с углубленным изучением отдельных предметов;23
26;имеет отдельные классы с углубленным изучением отдельных предметов       (заполняют организации, указавшие в строке 25 код «0»);150
27;гимназия;81
28;имеет гимназические классы (заполняют организации, указавшие в строке 27 код «0»);
29;лицей;60
30;имеет лицейские классы (заполняют организации, указавшие в строке 29 код «0»);2
31;обеспечивает подготовку к военной или гражданской службе:       президентское кадетское училище;
32;суворовское военное училище;
33;нахимовское военно-морское училище;
34;кадетский (морской кадетский) военный корпус;
35;кадетский (морской кадетский) корпус;
36;кадетская школа;2
37;казачий кадетский корпус;
38;военно-музыкальное училище;
39;другая;24
40;Организация не имеет особенностей;1346
