;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателя;Всего (сумма граф 04 - 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Число классов без углубленного изучения предметов, ед.;20952;2188;2321;2392;2446;2198;2199;2127;2170;2141;390;377;1;2
2;В них обучающихся, чел.;385655;37207;41603;43691;45814;42354;42539;40181;41131;40315;5874;4913;7;26
3;Число классов с углубленным изучением отдельных предметов, ед.;1427;27;29;25;20;65;72;78;68;52;506;482;2;1
4;В них обучающихся, чел.;25932;660;714;673;504;1915;2018;2042;1863;1355;7659;6483;21;25
5;Число гимназических классов, ед.;2019;180;196;207;213;202;201;204;204;197;109;106;;
6;В них обучающихся, чел.;55630;5145;5782;6119;6058;5628;5581;5475;5579;5180;2600;2483;;
7;Число лицейских классов, ед.;1471;123;137;141;147;153;156;153;153;146;82;80;;
8;В них обучающихся, чел.;41758;3671;4179;4191;4339;4420;4475;4298;4380;4021;2002;1782;;
9;Итого классов (без классов для обучающихся с ограниченными возможностями здоровья) (сумма строк 01, 03, 05, 07), ед.;25869;2518;2683;2765;2826;2618;2628;2562;2595;2536;1087;1045;3;3
10;"В них обучающихся (сумма строк 02, 04, 06, 08;  сумма строк 11 - 13), чел.";508975;46683;52278;54674;56715;54317;54613;51996;52953;50871;18135;15661;28;51
11;в том числе обучаются:          очно;508781;46681;52278;54674;56714;54316;54611;51996;52952;50870;18056;15622;10;1
12;очно-заочно;182;1;;;;1;;;;1;79;39;11;50
13;заочно;12;1;;;1;;2;;1;;;;7;
14;Из строки 10:          воспитанники (без приходящих учащихся);15951;1039;1247;1295;1335;1615;1812;1880;2091;1939;890;798;10;
15;девочки;249202;22471;25269;26754;27637;26526;26592;25339;26013;24673;9652;8257;9;10
16;оставленные на повторное обучение;525;179;53;32;66;15;18;15;23;122;1;1;;
17;лица с ограниченными возможностями здоровья;23531;1404;1742;2376;2740;2150;2686;3071;3414;3736;109;102;;1
18;из них:                инвалиды;333;40;37;67;17;20;54;34;20;25;5;13;;1
19;дети-инвалиды;3903;496;431;438;455;369;438;366;381;389;70;70;;
20;инвалиды (кроме учтенных в строке 18);117;9;8;14;13;16;6;15;13;12;4;7;;
21;дети-инвалиды (кроме учтенных в строке 19);2851;236;245;251;305;318;321;300;309;307;153;106;;
22;дети-сироты и дети, оставшиеся без попечения родителей;2986;122;184;195;287;317;332;367;472;531;92;87;;
23;из них воспитанники (без приходящих учащихся);52;2;;1;1;4;5;9;10;14;3;3;;
24;обучающиеся иностранные граждане;1738;221;200;202;191;153;182;186;181;126;58;38;;
25;из них девочки;678;78;85;95;75;52;73;71;72;56;12;9;;
26;обучающиеся лица без гражданства;163;22;16;16;15;11;22;17;18;18;;8;;
