;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;42354;4694;13976;23684;42287;67;
2;из них:        русский язык;1852;388;935;529;1852;;
3;литературное чтение;154;154;;;154;;
4;родной язык и (или) государственный язык       республики Российской Федерации;2575;1300;1224;51;2575;;
5;литературное чтение на родном языке;178;178;;;178;;
6;окружающий мир;134;134;;;134;;
7;математика;22243;1376;7169;13698;22243;;
8;изобразительное искусство;468;70;337;61;468;;
9;музыка;181;70;96;15;181;;
10;труд (технология);187;70;117;;187;;
11;физическая культура;272;70;198;4;272;;
12;литература;1437;;171;1266;1437;;
13;родная литература;209;;205;4;209;;
14;иностранный язык;6018;1890;3318;810;6018;;
15;из них:              английский;5940;1890;3266;784;5940;;
16;немецкий;194;56;134;4;194;;
17;французский;63;63;;;63;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;22;;;22;22;;
21;другие восточные языки;;;;;;;
22;информатика;6018;;997;5021;5951;67;
23;история;1435;;452;983;1435;;
24;обществознание;8508;;412;8096;8441;67;
25;география;553;;169;384;553;;
26;физика;5240;;1325;3915;5240;;
27;химия;5956;;976;4980;5956;;
28;биология;6294;;816;5478;6294;;
29;основы безопасности и защиты Родины;212;;208;4;212;;
