;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);80247.89;73679.75;68080.94;53019;5602;1408;3096;6071;5861;52550;1357
2;в том числе:       руководящие работники – всего;4338.53;4065.8;3871.05;3496;246;17;190;323;310;3412;100
3;из них:             директор;1257.89;1222.39;1178.89;1217;64;;56;91;88;1235;17
4;заместители директора;2889.43;2646.06;2476.46;2065;162;17;118;204;195;2033;81
5;руководитель филиала;139.05;131.55;127.05;127;5;;5;12;12;123;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);60803.28;55446.69;50778.77;36833;4058;660;2737;4399;4278;36556;843
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);51570.73;47370;43407.29;31533;3056;456;2083;3575;3478;31020;403
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;12936.25;12167.18;11407.75;9410;675;189;375;882;863;9167;27
9;русского языка и литературы;6552.27;6044.12;5543.29;3779;385;24;310;388;377;3813;50
10;языка народов России и литературы;2865.68;2645.59;2448.81;1950;111;9;84;157;151;1905;11
11;истории, экономики, права, обществознания;2854.52;2663.31;2462.39;1800;170;11;119;180;175;1797;13
12;информатики;1140.33;1034.07;936.91;742;76;14;55;102;95;711;18
13;физики;1375.64;1245.13;1135.21;884;96;3;67;111;109;855;39
14;математики;4948.92;4538.59;4151.53;2773;308;23;228;356;347;2738;74
15;химии;1023.12;939.68;867.39;728;86;4;64;92;87;718;18
16;географии;1368.91;1253.37;1146.82;871;73;7;53;93;90;866;5
17;биологии;1398.01;1270.84;1164.45;902;92;3;73;109;104;880;9
18;иностранных языков;5006.85;4596.49;4182.44;3161;393;32;304;460;449;3081;62
19;из них:                         английского языка;4771.93;4381.76;3994.35;2984;363;29;276;392;384;2956;56
20;немецкого языка;117.67;108.35;90.26;110;8;;7;30;27;87;2
21;французского языка;42.89;41.58;27.22;28;6;;6;12;11;21;
22;китайского языка;6.11;5.11;5.11;1;3;;2;;;3;
23;физической культуры;2784.21;2573.69;2360.18;1918;210;71;106;265;259;1855;16
24;труда (технологии);1844.42;1661.38;1495.14;1012;117;17;76;137;133;1001;15
25;музыки и пения;703.44;642.5;576.07;440;59;12;36;62;60;431;10
26;изобразительного искусства, черчения;534.11;483.33;432.82;326;47;11;27;49;48;323;7
27;основ безопасности и защиты Родины;550.52;492.31;454.93;354;74;11;47;59;59;377;13
28;основ духовно-нравственной культуры народов России;192.69;160.12;145.27;14;15;2;12;3;3;35;1
29;прочих предметов;3490.84;2958.3;2495.89;469;69;13;47;70;69;467;15
30;учителя-логопеды;605.4;508.45;483;383;65;8;48;36;35;416;48
31;учителя-дефектологи;199.18;166.73;157.73;78;29;5;20;14;14;99;23
32;из них:                      олигофренопедагог;97.51;93.26;89.76;42;5;;3;6;6;43;
33;тифлопедагог;7;7;7;4;2;;2;1;1;6;
34;сурдопедагог;7.92;5.72;5.72;4;1;;1;1;1;4;
35;социальные педагоги;811.23;732.92;681.97;568;91;22;60;85;84;562;27
36;педагоги дополнительного образования;993.74;836.36;722.81;292;93;18;70;72;69;320;68
37;педагоги-психологи;1154.25;948.7;880.15;671;120;13;90;102;101;690;108
38;воспитатели;3024.72;2787.98;2543.14;2148;225;66;116;269;260;2117;63
39;мастера производственного обучения;13.01;12.51;12.51;7;;;;1;1;6;
40;тьюторы;235.89;170.87;161.19;100;70;12;40;36;34;133;44
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;440.28;397.25;365.25;115;132;13;106;14;13;286;3
42;другие;1754.85;1514.92;1363.73;938;177;47;104;195;189;907;56
43;учебно-вспомогательный персонал;3566.79;3212.23;2961.22;2665;303;129;111;372;350;2596;116
44;иной персонал;11539.29;10955.03;10469.9;10025;995;602;58;977;923;9986;298
45;из них:             ассистент (помощник);6;6;6;2;;;;1;1;2;
46;сурдопереводчик;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;1476.53;1409.26;1321.97;1185;129;46;64;123;117;1261;22
49;из них воспитатели;1271.59;1216.1;1120.89;1065;122;45;58;113;108;1150;19
