;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Всего (сумма граф 4 – 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 06);146701;14421;15207;15394;15288;15198;14674;14629;14613;14757;6847;5176;355;142
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05);146365;14417;15203;15391;15288;15194;14673;14627;14612;14577;6846;5040;355;142
3;в том числе обучались:       очно;145592;14417;15203;15391;15288;15194;14673;14621;14594;14472;6548;5040;111;40
4;очно-заочно;472;;;;;;;3;3;11;209;;177;69
5;заочно;301;;;;;;;3;15;94;89;;67;33
6;Численность экстернов, окончивших данный класс;336;4;4;3;;4;1;2;1;180;1;136;;
7;из них (из стр.06)  обучались:       в форме семейного образования;320;4;3;2;;3;1;1;;178;1;127;;
8;в форме самообразования;4;;;;;;;;;;;4;;
9;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;
