;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);13578;4264;6190;2927;86;49;16;46;895;12980;320;278
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;70;3;7;50;2;4;2;2;9;36;2;32
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;46;;1;37;1;4;2;1;8;14;;32
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;4;1;3;;;;;;;4;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;11064;4162;5971;764;80;43;8;36;83;11052;7;5
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;142;34;61;17;19;8;;3;;142;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;91;29;62;;;;;;1;91;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;745;11;33;701;;;;;31;695;35;15
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;532;;12;520;;;;;19;486;41;5
10;в связи с переходом на семейное образование и самообразование;206;70;76;56;4;;;;7;202;3;1
11;по болезни;20;5;8;5;;;2;;3;15;4;1
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;56;;5;51;;;;;44;13;3;40
13;выбыло по другим причинам;885;13;78;780;;2;4;8;699;481;225;179
