;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);17799;1123;793;1727;1900;2005;10251;10727;957;604;1187;1008;982;5989;7072
2;в том числе:       руководящие работники – всего;1044;15;16;50;79;122;762;949;24;21;74;83;104;643;95
3;из них:             директор;432;5;7;13;33;38;336;428;11;7;23;44;46;297;4
4;заместители директора;606;10;9;37;46;82;422;518;13;14;51;38;58;344;88
5;руководитель филиала;4;;;;;1;3;3;;;;1;;2;1
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);9796;727;434;889;981;935;5830;9606;905;575;1088;903;861;5274;190
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);8677;648;374;769;838;775;5273;8546;759;486;939;769;723;4870;131
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2532;176;104;223;200;192;1637;2497;199;128;256;190;178;1546;35
9;русского языка и литературы;1046;61;40;62;91;89;703;1033;66;44;81;83;93;666;13
10;языка народов России и литературы;329;35;10;21;19;33;211;324;35;8;27;24;31;199;5
11;истории, экономики, права, обществознания;580;44;31;58;80;59;308;575;52;48;83;62;56;274;5
12;информатики;173;21;12;16;18;19;87;169;24;14;22;16;18;75;4
13;физики;255;10;12;18;27;20;168;253;12;13;30;26;13;159;2
14;математики;876;53;33;83;85;69;553;861;66;43;99;67;66;520;15
15;химии;203;15;3;24;12;13;136;200;17;4;25;12;13;129;3
16;географии;241;13;9;13;24;28;154;238;18;12;17;19;28;144;3
17;биологии;288;17;7;19;26;28;191;282;24;9;29;23;24;173;6
18;иностранных языков;861;74;58;107;126;96;400;850;80;71;126;117;84;372;11
19;из них:                         английского языка;847;73;58;106;125;96;389;836;78;71;125;116;83;363;11
20;немецкого языка;7;1;;1;;;5;7;2;;1;;;4;
21;французского языка;5;;;;;;5;5;;;;;1;4;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;540;71;29;70;68;61;241;528;86;44;73;67;54;204;12
24;труда (технологии);377;22;10;30;31;41;243;371;41;22;37;31;35;205;6
25;музыки и пения;145;12;6;11;15;12;89;142;12;12;16;14;14;74;3
26;изобразительного искусства, черчения;91;15;5;5;9;7;50;86;12;5;9;8;8;44;5
27;основ безопасности и защиты Родины;50;4;2;5;5;3;31;48;9;3;5;4;3;24;2
28;основ духовно-нравственной культуры народов России;5;;1;1;;;3;5;;1;1;;;3;
29;прочих предметов;85;5;2;3;2;5;68;84;6;5;3;6;5;59;1
30;учителя-логопеды;69;3;2;6;10;7;41;69;10;5;9;7;7;31;
31;учителя-дефектологи;19;;1;1;1;1;15;19;2;;;4;2;11;
32;из них:                   олигофренопедагог;2;;1;;;;1;2;1;;;;;1;
33;тифлопедагог;3;;;;1;;2;3;;;;1;;2;
34;сурдопедагог;10;;;1;;;9;10;;;;1;1;8;
35;социальные педагоги;67;7;3;10;12;7;28;60;13;4;8;11;6;18;7
36;педагоги дополнительного образования;69;7;5;7;11;7;32;65;10;4;12;9;4;26;4
37;педагоги-психологи;131;14;11;23;15;20;48;121;20;11;28;13;12;37;10
38;воспитатели;497;27;26;48;55;81;260;485;57;47;64;58;73;186;12
39;мастера производственного обучения;5;;;;;;5;5;;1;1;;;3;
40;тьюторы;22;;;1;2;4;15;21;;;1;2;4;14;1
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;62;8;4;11;11;12;16;56;11;4;10;10;9;12;6
42;другие;178;13;8;13;26;21;97;159;23;13;16;20;21;66;19
43;учебно-вспомогательный персонал;764;60;30;85;97;98;394;87;20;5;11;9;11;31;677
44;иной персонал;6195;321;313;703;743;850;3265;85;8;3;14;13;6;41;6110
45;из них:             ассистент (помощник);2;;;1;;;1;1;;;1;;;;1
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;229;11;12;27;29;34;116;227;34;15;36;30;30;82;2
49;из них воспитатели;204;11;11;23;25;30;104;202;32;13;30;27;26;74;2
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;45;;;2;2;3;38;45;1;1;3;5;3;32;
51;из них учителя;44;;;2;2;3;37;44;1;1;3;5;3;31;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
