;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);1034;690;610.9
2;в том числе:       руководящие работники – всего;9;8;5.7
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);816;602;503.3
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);721;533;446.6
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;23;22;20.7
6;русского языка и литературы;42;39;25.6
7;языка народов России и литературы;24;24;29.2
8;истории, экономики, права, обществознания;80;32;32.4
9;информатики;51;40;22.7
10;физики;56;44;42.5
11;математики;63;49;36.3
12;химии;50;46;48.2
13;географии;22;15;9.9
14;биологии;44;43;15.2
15;иностранных языков;74;68;36.3
16;из них:                      английского языка;71;66;35
17;немецкого языка;;;
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;56;18;34.4
21;труда (технологии);39;24;27.2
22;музыки и пения;48;41;69.1
23;изобразительного искусства, черчения;9;9;1.9
24;основ безопасности и защиты Родины;10;2;6.3
25;основ духовно-нравственной культуры народов России;1;1;0.3
26;прочих предметов;29;16;22.1
27;учителя-логопеды;5;5;2.5
28;учителя-дефектологи;1;1;
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;2;2;1.5
33;педагоги дополнительного образования;31;12;12.3
34;педагоги-психологи;18;18;9.2
35;воспитатели;9;9;9
36;мастера производственного обучения;;;
37;тьюторы;1;1;0.3
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;3;3;0.8
39;другие;25;18;12.5
40;учебно-вспомогательный персонал;59;24;31.3
41;иной персонал;150;56;83.2
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;3;3;2.6
46;из них воспитатели;;;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;5;5;4.2
48;из них учителя;5;5;11.2
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;15;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);12;;
53;из них женщин;10;;
54;в том числе:          врачи всех специальностей;2;;
55;медицинские сестры;10;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;500;;
