;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);24644.26;24245.46;20593.96;17925;2433;623;1026;2559;2415;17799;447
2;в том числе:       руководящие работники – всего;1354.15;1332.35;1089.5;1061;113;11;71;133;121;1044;13
3;из них:             директор;439.95;436.95;421.6;430;34;3;21;39;36;432;2
4;заместители директора;882.3;864;637.05;612;74;8;44;91;79;606;11
5;руководитель филиала;4.15;4.15;4;5;;;;1;1;4;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);14955.46;14711.82;12089.58;9833;1528;324;885;1556;1452;9796;303
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);13211.07;13076.87;10876.31;8750;1257;262;747;1321;1233;8677;206
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;3215.73;3204.27;3009.71;2583;259;97;104;313;295;2532;20
9;русского языка и литературы;1765.74;1744.13;1535.59;1060;146;13;95;156;145;1046;28
10;языка народов России и литературы;533.69;525.24;435.38;320;52;13;31;44;41;329;10
11;истории, экономики, права, обществознания;881.3;873.18;728.83;580;85;10;59;86;78;580;18
12;информатики;278.75;274.56;176.97;169;46;9;36;41;38;173;6
13;физики;403.47;394.59;284.67;259;42;3;33;44;41;255;14
14;математики;1502.02;1482.5;1282.71;857;134;13;91;112;100;876;40
15;химии;264.39;260.49;171.88;194;41;;32;32;28;203;6
16;географии;392.12;387.04;273.05;234;43;7;30;36;32;241;
17;биологии;404.9;402.9;291.94;282;44;4;33;38;37;288;6
18;иностранных языков;1380.55;1365.74;1214.54;877;147;19;101;160;150;861;35
19;из них:                         английского языка;1354.06;1340.91;1194.35;853;142;19;96;148;139;847;33
20;немецкого языка;10.88;10.38;8.26;12;2;;2;7;7;7;1
21;французского языка;6.04;4.88;4.34;9;;;;4;3;5;
22;китайского языка;3.1;3.1;;;;;;;;;
23;физической культуры;765.88;760.94;673.9;571;70;33;18;101;95;540;6
24;труда (технологии);541.24;533.28;409.64;370;58;10;36;52;49;377;7
25;музыки и пения;217.72;213.18;132.7;146;33;14;12;33;32;145;5
26;изобразительного искусства, черчения;143.34;141.22;73.95;91;22;11;10;22;21;91;1
27;основ безопасности и защиты Родины;136.52;135.8;43.19;57;6;3;1;12;12;50;1
28;основ духовно-нравственной культуры народов России;58.69;57.81;4.64;3;5;1;4;3;3;5;
29;прочих предметов;325.02;320;133.02;97;24;2;21;36;36;85;3
30;учителя-логопеды;126.8;120.66;100.02;68;12;1;10;11;11;69;16
31;учителя-дефектологи;43.71;38.75;24.85;21;3;1;2;5;4;19;3
32;из них:                      олигофренопедагог;5.33;4.9;3.9;2;1;1;;1;1;2;
33;тифлопедагог;5.43;5.1;5.1;3;;;;;;3;
34;сурдопедагог;18.65;18.65;10;12;;;;2;2;10;
35;социальные педагоги;107.15;102.55;74.15;56;21;5;12;10;9;67;1
36;педагоги дополнительного образования;154.29;134.72;86.54;63;22;5;11;16;16;69;19
37;педагоги-психологи;209.88;192.43;141.88;134;36;4;24;37;33;131;19
