;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;33096;4958;14585;13553;33096;;
2;из них:        русский язык;7804;874;5265;1665;7804;;
3;литературное чтение;1437;1437;;;1437;;
4;родной язык и (или) государственный язык       республики Российской Федерации;154;;125;29;154;;
5;литературное чтение на родном языке;72;72;;;72;;
6;окружающий мир;;;;;;;
7;математика;7693;1633;3065;2995;7693;;
8;изобразительное искусство;;;;;;;
9;музыка;;;;;;;
10;труд (технология);128;28;100;;128;;
11;физическая культура;137;106;31;;137;;
12;литература;1834;;526;1308;1834;;
13;родная литература;6;;;6;6;;
14;иностранный язык;3909;1270;1951;688;3909;;
15;из них:              английский;3895;1270;1951;674;3895;;
16;немецкий;;;;;;;
17;французский;;;;;;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;14;;;14;14;;
22;информатика;1892;;1255;637;1892;;
23;история;1712;;336;1376;1712;;
24;обществознание;3628;;412;3216;3628;;
25;география;167;;101;66;167;;
26;физика;1190;;703;487;1190;;
27;химия;6791;;1584;5207;6791;;
28;биология;9417;;3666;5751;9417;;
29;основы безопасности и защиты Родины;72;;61;11;72;;
