;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10);Численность обучающихся по программам начального общего образования – всего (1–4 классы);Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования – всего (5-9 классы);Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования – всего (10-11(12) классы;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-х классов без оставленных на повторное обучение;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 14) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;471873;204870;99691;47704;241358;117639;51127;25645;12146;14115;240;1058;312;17
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;13;13;10;9;;;;;;;;;;
3;6 лет;12418;12418;6529;12030;;;;;;;;21;9;
4;7 лет;45115;45112;22128;32461;3;;;;;;;104;25;
5;8 лет;50992;50991;25013;3044;1;1;1;;;;;128;38;4
6;9 лет;53185;53021;25844;132;164;62;113;;;;;120;32;3
7;10 лет;53292;39307;18559;19;13985;7305;12856;;;;;143;44;3
8;11 лет;51812;3555;1450;7;48256;23952;33087;1;;;;123;41;1
9;12 лет;51639;330;109;;51309;25168;3855;;;;;121;32;1
10;13 лет;48828;68;18;;48747;23821;844;13;1;3;;111;35;1
11;14 лет;46196;28;17;;46070;22265;290;98;46;85;;94;28;3
12;15 лет;35164;11;5;;29744;13907;58;5409;2702;4847;58;62;15;1
13;16 лет;15953;6;2;;2705;1039;12;13242;6288;8391;36;24;11;
14;17 лет;6803;3;;;304;104;3;6496;3003;716;4;5;2;
15;18 лет;293;3;3;1;33;11;;257;102;27;3;;;
16;19 лет;23;3;3;1;5;3;4;15;;1;2;;;
17;20 лет;12;1;1;;3;;;8;1;4;8;;;
18;21 год;5;;;;1;;;4;2;1;2;;;
19;22 года;31;;;;8;;1;23;1;21;30;;;
20;23 года;30;;;;3;;;27;;5;30;;;
21;24 года;15;;;;3;;;12;;2;14;;;
22;25 лет;2;;;;;;;2;;2;2;;;
23;26 лет;3;;;;;;;3;;1;3;;;
24;27 лет;8;;;;4;;1;4;;3;8;;;
25;28 лет;9;;;;2;;1;7;;1;9;;;
26;29 лет;9;;;;2;;1;7;;2;9;1;;
27;30–34 года;15;;;;5;;;10;;3;15;1;;
28;35–39 лет;4;;;;1;1;;3;;;3;;;
29;40 лет и старше;4;;;;;;;4;;;4;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
