;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);70220;6014;5038;8890;9484;9532;31262;48929;3363;2899;5496;6099;6563;24509;21291
2;в том числе:       руководящие работники – всего;4606;66;88;264;415;535;3238;4314;60;89;248;390;492;3035;292
3;из них:             директор;1319;11;16;43;108;126;1015;1317;12;21;55;106;133;990;2
4;заместители директора;3250;50;71;216;305;404;2204;2969;43;67;190;280;354;2035;281
5;руководитель филиала;11;4;;3;1;1;2;10;4;;2;1;1;2;1
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);43534;3155;2616;4919;5523;5897;21424;43323;3141;2674;5018;5518;5877;21095;211
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);38596;2588;2189;4140;4810;5204;19665;38485;2566;2242;4239;4828;5199;19411;111
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;11572;739;699;1267;1341;1461;6065;11546;725;709;1293;1346;1465;6008;26
9;русского языка и литературы;4633;217;160;365;561;692;2638;4622;208;164;367;575;685;2623;11
10;языка народов России и литературы;2606;92;79;181;321;388;1545;2605;91;85;185;322;395;1527;1
11;истории, экономики, права, обществознания;2360;161;128;282;349;409;1031;2348;156;133;289;347;415;1008;12
12;информатики;780;110;61;101;126;134;248;775;112;58;109;124;127;245;5
13;физики;973;51;48;106;81;75;612;972;53;47;109;82;75;606;1
14;математики;3002;239;165;266;275;328;1729;2989;231;171;269;283;325;1710;13
15;химии;839;63;47;82;76;85;486;837;63;51;83;76;89;475;2
16;географии;1099;64;60;122;148;144;561;1098;67;59;121;156;139;556;1
17;биологии;1303;93;83;115;143;224;645;1302;97;82;126;141;223;633;1
18;иностранных языков;3434;316;271;566;666;537;1078;3422;312;274;578;663;536;1059;12
19;из них:                         английского языка;3334;315;268;552;647;521;1031;3322;311;271;564;644;520;1012;12
20;немецкого языка;26;;1;3;;3;19;26;;1;3;;3;19;
21;французского языка;9;;;1;;;8;9;;;1;;;8;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;2072;157;164;308;286;270;887;2065;160;163;313;283;270;876;7
24;труда (технологии);1260;83;65;105;131;131;745;1258;84;70;113;129;129;733;2
25;музыки и пения;711;47;34;64;64;78;424;707;47;38;66;62;78;416;4
