;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);1023;646;459.3
2;в том числе:       руководящие работники – всего;18;10;12
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);902;586;368.6
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);837;546;345.2
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;73;63;50.9
6;русского языка и литературы;45;42;23.3
7;языка народов России и литературы;52;45;15.2
8;истории, экономики, права, обществознания;58;35;22.2
9;информатики;40;18;17.8
10;физики;40;21;21.5
11;математики;66;45;42.1
12;химии;76;49;34.2
13;географии;33;22;11.4
14;биологии;44;37;18.4
15;иностранных языков;74;67;32
16;из них:                      английского языка;67;59;31.2
17;немецкого языка;1;1;1
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;74;10;33.5
21;труда (технологии);24;14;7.6
22;музыки и пения;42;28;17.9
23;изобразительного искусства, черчения;13;8;3.9
24;основ безопасности и защиты Родины;23;;14.7
25;основ духовно-нравственной культуры народов России;3;2;0.9
26;прочих предметов;57;40;31.8
27;учителя-логопеды;6;6;3.5
28;учителя-дефектологи;;;
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;2;2;1
33;педагоги дополнительного образования;33;15;20.8
34;педагоги-психологи;5;3;3.5
35;воспитатели;7;7;3
36;мастера производственного обучения;;;
37;тьюторы;1;1;2
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;3;1;1.3
39;другие;8;5;5.9
40;учебно-вспомогательный персонал;33;16;19
41;иной персонал;70;34;34.5
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;2;2;
46;из них воспитатели;1;1;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;;;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;6;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);72;;
53;из них женщин;64;;
54;в том числе:          врачи всех специальностей;16;;
55;медицинские сестры;56;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;174;;
