;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;2045;155;277;1613;2045;;
2;из них:        русский язык;343;;71;272;343;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;155;155;;;155;;
6;окружающий мир;;;;;;;
7;математика;696;;237;459;696;;
8;изобразительное искусство;;;;;;;
9;музыка;;;;;;;
10;труд (технология);;;;;;;
11;физическая культура;;;;;;;
12;литература;125;;;125;125;;
13;родная литература;;;;;;;
14;иностранный язык;66;;;66;66;;
15;из них:              английский;52;;;52;52;;
16;немецкий;14;;;14;14;;
17;французский;;;;;;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;238;;145;93;238;;
23;история;347;;;347;347;;
24;обществознание;386;;;386;386;;
25;география;;;;;;;
26;физика;146;;69;77;146;;
27;химия;732;;;732;732;;
28;биология;590;;;590;590;;
29;основы безопасности и защиты Родины;;;;;;;
