;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Всего (сумма граф 4 – 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 06);80550;7992;8231;8774;8471;8755;8721;8460;7994;8017;2908;2221;6;
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05);80348;7990;8230;8772;8462;8745;8709;8447;7988;8008;2881;2110;6;
3;в том числе обучались:       очно;80318;7988;8230;8772;8460;8741;8705;8444;7982;8003;2878;2109;6;
4;очно-заочно;13;;;;;1;1;;6;2;2;1;;
5;заочно;17;2;;;2;3;3;3;;3;1;;;
6;Численность экстернов, окончивших данный класс;202;2;1;2;9;10;12;13;6;9;27;111;;
7;из них (из стр.06)  обучались:       в форме семейного образования;93;2;1;2;9;10;12;13;6;9;19;10;;
8;в форме самообразования;105;;;;;;;;;;8;97;;
9;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;
