;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);5528;1939;2649;890;25;17;;8;1;5520;;8
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;385;167;178;40;;;;;;385;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;;;;;;;;;;;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;4299;1750;2013;486;25;17;;8;1;4299;;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;;;;;;;;;;;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;;;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;483;;235;248;;;;;;483;;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;233;;160;73;;;;;;233;;
10;в связи с переходом на семейное образование и самообразование;71;16;45;10;;;;;;63;;8
11;по болезни;;;;;;;;;;;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;5;;;5;;;;;;5;;
13;выбыло по другим причинам;52;6;18;28;;;;;;52;;
