;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);12308;1589;1260;1897;1767;1715;4080;8518;1055;799;1209;1146;1104;3205;3790
2;в том числе:       руководящие работники – всего;868;18;24;63;90;135;538;728;16;17;55;69;108;463;140
3;из них:             директор;147;1;2;2;7;18;117;146;1;2;3;5;19;116;1
4;заместители директора;694;17;21;59;79;112;406;568;15;15;51;61;86;340;126
5;руководитель филиала;3;;;;1;;2;3;;;;1;;2;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);7448;1028;697;1063;988;961;2711;7315;965;694;1063;994;946;2653;133
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);6031;780;485;815;789;774;2388;5963;737;488;819;798;768;2353;68
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1650;199;135;212;195;194;715;1639;185;135;215;198;196;710;11
9;русского языка и литературы;664;78;39;84;88;97;278;660;76;41;83;87;96;277;4
10;языка народов России и литературы;443;34;30;38;52;46;243;441;34;31;37;52;47;240;2
11;истории, экономики, права, обществознания;348;65;25;41;54;42;121;344;65;25;42;53;40;119;4
12;информатики;151;37;23;28;20;19;24;147;37;23;27;19;18;23;4
13;физики;153;14;13;20;17;17;72;153;16;12;20;18;16;71;
14;математики;488;60;38;59;57;57;217;481;53;40;58;57;57;216;7
15;химии;145;33;9;23;12;8;60;141;30;9;22;12;8;60;4
16;географии;158;14;7;16;22;14;85;158;13;8;16;23;14;84;
17;биологии;178;30;10;27;21;20;70;172;28;10;27;19;20;68;6
18;иностранных языков;524;51;43;77;113;107;133;521;49;41;78;114;106;133;3
19;из них:                         английского языка;511;50;43;75;111;106;126;508;48;41;76;112;105;126;3
20;немецкого языка;10;;;1;2;1;6;10;;;1;2;1;6;
21;французского языка;1;;;;;;1;1;;;;;;1;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;264;47;26;52;44;29;66;258;41;26;52;46;31;62;6
24;труда (технологии);184;32;16;32;18;11;75;178;27;16;33;20;10;72;6
25;музыки и пения;54;5;5;9;3;11;21;51;3;4;9;3;11;21;3
26;изобразительного искусства, черчения;68;9;13;9;7;8;22;67;9;12;9;7;8;22;1
27;основ безопасности и защиты Родины;116;12;5;14;10;16;59;113;14;6;13;12;15;53;3
28;основ духовно-нравственной культуры народов России;134;22;12;15;17;24;44;134;24;12;16;15;23;44;
29;прочих предметов;309;38;36;59;39;54;83;305;33;37;62;43;52;78;4
30;учителя-логопеды;87;19;10;17;16;10;15;79;15;7;18;16;9;14;8
31;учителя-дефектологи;7;3;1;1;;2;;7;3;1;1;;2;;
32;из них:                   олигофренопедагог;;;;;;;;;;;;;;;
33;тифлопедагог;;;;;;;;;;;;;;;
34;сурдопедагог;2;1;;;;1;;2;1;;;;1;;
35;социальные педагоги;122;17;22;14;19;17;33;119;15;23;16;17;15;33;3
36;педагоги дополнительного образования;527;95;88;98;74;68;104;515;87;87;98;77;72;94;12
37;педагоги-психологи;160;25;15;21;21;20;58;156;23;14;22;21;20;56;4
38;воспитатели;152;23;21;30;18;21;39;134;19;19;25;15;20;36;18
39;мастера производственного обучения;13;4;1;1;3;2;2;11;3;1;1;2;2;2;2
40;тьюторы;30;3;4;11;7;3;2;27;2;4;10;6;3;2;3
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;103;26;15;21;11;16;14;103;29;14;20;12;14;14;
42;другие;216;33;35;34;30;28;56;201;32;36;33;30;21;49;15
43;учебно-вспомогательный персонал;1014;154;176;211;175;116;182;294;42;64;65;54;18;51;720
44;иной персонал;2978;389;363;560;514;503;649;181;32;24;26;29;32;38;2797
45;из них:             ассистент (помощник);34;5;7;5;5;5;7;8;3;2;2;1;;;26
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;19;2;4;5;;6;2;19;4;3;4;;6;2;
49;из них воспитатели;15;1;4;5;;4;1;15;3;3;4;;4;1;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;;;;;;;;;;;;;;;
51;из них учителя;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
