;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);1279;954;367.9
2;в том числе:       руководящие работники – всего;79;58;20
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);852;666;264.8
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);710;560;229.5
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;156;145;60
6;русского языка и литературы;66;63;19.4
7;языка народов России и литературы;51;48;17.9
8;истории, экономики, права, обществознания;44;33;18
9;информатики;22;11;8.5
10;физики;25;21;8
11;математики;63;58;22
12;химии;23;19;9
13;географии;23;21;7.3
14;биологии;21;19;7.5
15;иностранных языков;57;53;15.5
16;из них:                      английского языка;54;52;15.5
17;немецкого языка;2;1;
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;40;7;11.9
21;труда (технологии);24;13;11.1
22;музыки и пения;8;8;1
23;изобразительного искусства, черчения;8;7;3.3
24;основ безопасности и защиты Родины;22;4;9.8
25;основ духовно-нравственной культуры народов России;17;3;6
26;прочих предметов;40;27;15.2
27;учителя-логопеды;10;8;3
28;учителя-дефектологи;;;
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;12;11;4.5
33;педагоги дополнительного образования;67;42;22
34;педагоги-психологи;14;11;3
35;воспитатели;5;5;
36;мастера производственного обучения;;;
37;тьюторы;3;3;2
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;7;7;3
39;другие;24;19;3
40;учебно-вспомогательный персонал;73;43;17
41;иной персонал;275;187;75
42;из них:             ассистент(помощник);2;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;3;3;
46;из них воспитатели;1;1;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;;;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;87;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);46;;
53;из них женщин;40;;
54;в том числе:          врачи всех специальностей;6;;
55;медицинские сестры;40;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;179;;
