;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);50;36;882;536
2;в том числе       инженерные;4;;70;
3;медицинские;2;2;56;48
4;космические;;;;
5;педагогические;5;10;97;86
6;аграрные;9;3;71;17
7;предпринимательские;;2;;28
8;кадетские;7;2;54;25
9;IT-классы;;;;
10;другие;23;17;534;332
