;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);2597;827;1446;294;;17;1;12;9;2597;;
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;16;;12;3;;1;;;;16;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;12;;12;;;;;;;12;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;2337;827;1357;135;;16;1;1;2;2337;;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;73;27;42;4;;;;;;73;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;2;2;;;;;;;;2;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;90;;46;44;;;;;;90;;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;113;;23;90;;;;;;113;;
10;в связи с переходом на семейное образование и самообразование;;;;;;;;;;;;
11;по болезни;1;;1;;;;;;;1;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;1;;;1;;;;;;1;;
13;выбыло по другим причинам;39;;7;21;;;;11;7;39;;
