;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);6353;3792;3411;;11;;1;1318;523;378;1539;1073;1;2;5078;
2;в том числе:       руководящие работники – всего;386;368;343;;4;;;14;4;3;147;97;;1;335;
3;из них:             директор;160;158;153;;2;;;;;;72;39;;1;127;
4;заместители директора;224;206;184;;2;;;13;4;1;72;54;;;205;
5;руководитель филиала;1;1;1;;;;;;;;;;;;1;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);3714;3113;3004;;7;;1;545;487;3;1387;969;1;1;3159;1023.7
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);3110;2671;2610;;7;;1;401;367;1;1270;868;;1;2625;833.3
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;776;566;555;;;;;198;193;;310;240;;1;773;207.5
9;русского языка и литературы;354;343;340;;1;;;10;8;;178;94;;;348;
10;языка народов России и литературы;292;276;274;;;;;15;13;;174;73;;;280;
11;истории, экономики, права, обществознания;201;194;192;;4;;;5;5;;71;63;;;137;
12;информатики;65;57;50;;;;;6;5;;18;15;;;37;
13;физики;89;87;86;;;;;2;2;;40;25;;;57;
14;математики;249;242;239;;;;;7;5;;110;61;;;222;
15;химии;72;72;71;;;;;;;;35;18;;;67;
16;географии;82;82;79;;;;;;;;30;28;;;70;
17;биологии;111;106;106;;;;;3;3;;52;25;;;104;
18;иностранных языков;278;270;269;;1;;1;6;5;;96;78;;;265;
19;из них:                         английского языка;273;260;259;;;;;6;5;;92;73;;;261;
20;немецкого языка;2;2;2;;;;;;;;1;;;;2;
21;французского языка;1;1;1;;;;;;;;1;;;;1;
22;китайского языка;1;1;1;;;;;;;;;;;;;
23;физической культуры;228;155;150;;;;;68;67;;76;65;;;60;
24;труда (технологии);142;106;98;;1;;;33;25;1;40;45;;;98;
25;музыки и пения;53;29;26;;;;;21;17;;15;15;;;48;
26;изобразительного искусства, черчения;29;18;17;;;;;9;6;;8;9;;;23;
27;основ безопасности и защиты Родины;48;38;36;;;;;7;7;;14;8;;;6;
28;основ духовно-нравственной культуры народов России;5;5;5;;;;;;;;1;1;;;3;
29;прочих предметов;36;25;17;;;;;11;6;;2;5;;;27;
30;учителя-логопеды;40;37;36;;;;;3;3;;13;9;;;40;3
31;учителя-дефектологи;8;8;8;;;;;;;;1;2;;;8;1
32;из них:                   олигофренопедагог;;;;;;;;;;;;;;;;
33;тифлопедагог;;;;;;;;;;;;;;;;
34;сурдопедагог;;;;;;;;;;;;;;;;
35;социальные педагоги;50;38;35;;;;;12;8;;6;12;;;47;9
36;педагоги дополнительного образования;99;70;52;;;;;24;16;1;21;16;;;61;19.7
37;педагоги-психологи;68;64;62;;;;;2;1;;17;14;;;67;14
38;воспитатели;196;113;103;;;;;80;73;;39;30;;;180;57.5
39;мастера производственного обучения;3;3;1;;;;;;;;3;;;;2;
40;тьюторы;53;43;40;;;;;9;9;;6;5;;;52;6
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;28;24;22;;;;;3;1;;4;5;;;27;3.5
42;другие;59;42;35;;;;;11;9;1;7;8;1;;50;26
43;учебно-вспомогательный персонал;362;143;40;;;;;132;7;28;4;7;;;309;
44;иной персонал;1891;168;24;;;;;627;25;344;1;;;;1275;
45;из них:             ассистент (помощник);;;;;;;;;;;;;;;;
46;сурдопереводчик;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;29;15;9;;;;;14;11;;3;9;;;29;
49;из них воспитатели;27;13;9;;;;;14;11;;3;9;;;27;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;;;;;;;;;;;;;;;;
51;из них учителя;;;;;;;;;;;;;;;;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;4;2;2;;;;;2;2;;;1;;;;
53;из них учителя - всего;4;2;2;;;;;2;2;;;1;;;;
