;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);10217.54;9343.34;8420.83;6368;1072;319;507;1087;995;6353;308
2;в том числе:       руководящие работники – всего;463.95;451.45;443.25;401;51;3;43;66;61;386;18
3;из них:             директор;161;161;160;158;13;;12;16;16;160;2
4;заместители директора;292.95;275.95;272.25;231;37;3;30;44;39;224;16
5;руководитель филиала;6;6;6;4;;;;2;2;1;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);6484.6;5899.22;5196.66;3757;622;118;416;634;575;3714;210
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);5073.55;4695.18;4217.26;3172;473;85;316;509;459;3110;154
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1124.62;1052.14;968.59;787;99;34;45;107;94;776;12
9;русского языка и литературы;586.75;542.86;498.82;360;52;2;45;57;51;354;21
10;языка народов России и литературы;442.97;406.19;368.68;307;38;1;31;51;48;292;9
11;истории, экономики, права, обществознания;330.98;295.1;271.48;206;29;1;23;37;32;201;13
12;информатики;109.41;96.04;82;63;20;6;12;16;14;65;6
13;физики;160.04;143.25;127.04;91;12;1;9;14;11;89;18
14;математики;478.09;444.3;390.34;257;46;5;39;50;45;249;30
15;химии;110.01;103.53;89.73;74;12;;10;11;11;72;5
16;географии;126.31;119.66;107.02;84;15;;12;13;11;82;3
17;биологии;168.91;159.22;140.73;114;13;;8;11;10;111;6
18;иностранных языков;431.28;400.83;362.02;286;47;3;36;50;48;278;13
19;из них:                         английского языка;406.8;376.35;340.34;265;40;3;30;46;41;273;12
20;немецкого языка;2.78;2.78;2.78;1;1;;;1;1;2;
21;французского языка;1;1;1;1;;;;;;1;
22;китайского языка;2.3;2.3;1;1;;;;;;1;
23;физической культуры;306.38;289.4;259.66;235;30;13;11;33;33;228;5
24;труда (технологии);188.07;176.09;156.86;149;20;5;14;28;24;142;5
25;музыки и пения;79.65;72.9;61.79;49;9;4;4;7;7;53;3
26;изобразительного искусства, черчения;51.3;45.48;37.72;34;5;2;3;9;7;29;3
27;основ безопасности и защиты Родины;67.72;64.95;59.16;41;13;4;7;10;10;48;2
28;основ духовно-нравственной культуры народов России;11.6;10.94;10.22;4;1;;1;;;5;
29;прочих предметов;299.46;272.3;225.4;31;12;4;6;5;3;36;
30;учителя-логопеды;64.62;52.54;45.52;40;5;;5;4;4;40;7
31;учителя-дефектологи;22.4;19.9;13.5;7;2;;2;1;;8;2
32;из них:                      олигофренопедагог;;;;;;;;;;;
33;тифлопедагог;;;;;;;;;;;
34;сурдопедагог;;;;;;;;;;;
35;социальные педагоги;82.25;76;68.5;58;13;3;7;16;16;50;7
36;педагоги дополнительного образования;353.67;305.7;218.17;93;24;4;20;23;23;99;7
37;педагоги-психологи;103.91;93.16;82.61;71;15;3;8;13;13;68;9
38;воспитатели;416.25;355.4;306.92;200;38;15;21;41;37;196;6
39;мастера производственного обучения;5.25;5.25;4.25;4;;;;;;3;
40;тьюторы;101.95;85.45;70.75;46;16;2;12;9;6;53;12
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;38.75;36.25;32;3;16;;12;;;28;2
42;другие;222;174.39;137.18;63;20;6;13;18;17;59;4
43;учебно-вспомогательный персонал;619.9;563.1;504.35;351;64;30;25;62;57;362;14
44;иной персонал;2649.09;2429.57;2276.57;1859;335;168;23;325;302;1891;66
45;из них:             ассистент (помощник);;;;;;;;;;;
46;сурдопереводчик;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;30.97;28.75;27.25;21;1;1;;2;2;29;
49;из них воспитатели;26.22;24;24;19;1;1;;2;2;27;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;;;;;;;;;;;
51;из них учителя;;;;;;;;;;;
;;;;;;;;;;;;
