;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;10030;1811;4374;3845;10002;28;
2;из них:        русский язык;141;;;141;130;11;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;2729;;1273;1456;2729;;
8;изобразительное искусство;;;;;;;
9;музыка;;;;;;;
10;труд (технология);26;;26;;26;;
11;физическая культура;;;;;;;
12;литература;474;;;474;474;;
13;родная литература;;;;;;;
14;иностранный язык;4266;1811;2070;385;4266;;
15;из них:              английский;4021;1785;1853;383;4021;;
16;немецкий;118;;118;;118;;
17;французский;51;;49;2;51;;
18;испанский;;;;;;;
19;другие европейские языки;76;26;50;;76;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;1306;;614;692;1306;;
23;история;384;;;384;384;;
24;обществознание;1745;;;1745;1717;28;
25;география;125;;;125;108;17;
26;физика;605;;309;296;605;;
27;химия;736;;367;369;736;;
28;биология;793;;146;647;793;;
29;основы безопасности и защиты Родины;;;;;;;
