;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);9574;456;301;732;1085;1040;5960;6550;552;361;680;813;606;3538;3024
2;в том числе:       руководящие работники – всего;554;1;3;19;55;56;420;456;10;8;26;55;41;316;98
3;из них:             директор;180;1;;4;9;14;152;176;3;1;9;13;15;135;4
4;заместители директора;363;;3;15;46;39;260;276;7;7;16;41;26;179;87
5;руководитель филиала;3;;;;;;3;2;;;;;;2;1
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);6067;392;247;519;728;641;3540;5979;534;344;641;745;558;3157;88
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);4838;319;202;401;584;474;2858;4786;374;264;474;601;437;2636;52
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1355;85;72;102;134;121;841;1351;94;81;115;151;121;789;4
9;русского языка и литературы;557;29;14;47;65;49;353;554;36;19;54;67;50;328;3
10;языка народов России и литературы;15;1;1;1;2;3;7;15;1;1;2;2;2;7;
11;истории, экономики, права, обществознания;321;22;16;50;47;27;159;317;28;25;58;41;24;141;4
12;информатики;128;9;4;10;21;16;68;125;8;7;12;24;16;58;3
13;физики;146;9;6;10;9;15;97;142;12;7;9;12;9;93;4
14;математики;452;23;13;26;44;36;310;448;26;25;36;44;28;289;4
15;химии;109;6;5;6;13;6;73;107;5;6;5;15;6;70;2
16;географии;148;7;2;15;20;14;90;147;9;3;19;19;13;84;1
17;биологии;136;3;10;9;12;9;93;135;7;11;10;10;10;87;1
18;иностранных языков;573;66;28;52;90;93;244;562;64;29;62;101;77;229;11
19;из них:                         английского языка;547;64;26;52;88;89;228;536;61;28;62;99;73;213;11
20;немецкого языка;10;2;1;;;;7;10;3;;;;;7;
21;французского языка;5;;1;;;2;2;5;;1;;;2;2;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;362;27;13;44;63;32;183;356;34;22;46;53;30;171;6
24;труда (технологии);200;12;7;12;23;22;124;196;19;12;18;25;18;104;4
25;музыки и пения;103;7;5;9;9;11;62;102;11;5;9;6;11;60;1
26;изобразительного искусства, черчения;80;4;4;2;13;8;49;79;7;6;5;14;7;40;1
27;основ безопасности и защиты Родины;60;3;1;2;6;4;44;57;4;3;5;7;5;33;3
28;основ духовно-нравственной культуры народов России;6;;;;2;;4;6;;;1;2;;3;
29;прочих предметов;87;6;1;4;11;8;57;87;9;2;8;8;10;50;
30;учителя-логопеды;125;2;1;12;20;18;72;124;7;5;19;14;17;62;1
31;учителя-дефектологи;25;1;1;2;6;5;10;24;2;1;7;3;3;8;1
32;из них:                   олигофренопедагог;4;;;;1;2;1;4;;;1;1;1;1;
33;тифлопедагог;2;;;;;;2;2;;;1;;;1;
34;сурдопедагог;;;;;;;;;;;;;;;
35;социальные педагоги;118;7;1;15;14;17;64;114;23;4;16;9;13;49;4
36;педагоги дополнительного образования;107;12;5;11;6;5;68;103;22;4;13;7;3;54;4
37;педагоги-психологи;125;8;10;20;20;12;55;123;17;12;22;23;7;42;2
38;воспитатели;417;21;8;31;47;66;244;407;43;24;46;58;55;181;10
39;мастера производственного обучения;2;;;;;1;1;2;;;1;;1;;
40;тьюторы;49;3;2;5;3;8;28;47;15;3;3;1;6;19;2
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;33;7;4;5;4;3;10;33;9;4;7;5;2;6;
42;другие;228;12;13;17;24;32;130;216;22;23;33;24;14;100;12
43;учебно-вспомогательный персонал;743;26;16;54;85;94;468;63;6;5;10;6;5;31;680
44;иной персонал;2210;37;35;140;217;249;1532;52;2;4;3;7;2;34;2158
45;из них:             ассистент (помощник);15;;1;2;6;2;4;1;;1;;;;;14
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;334;15;9;22;41;44;203;331;27;18;32;42;44;168;3
49;из них воспитатели;293;15;8;19;39;40;172;290;27;17;27;41;40;138;3
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;51;;1;3;6;5;36;51;;1;4;5;5;36;
51;из них учителя;51;;1;3;6;5;36;51;;1;4;5;5;36;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
