;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);600;334;212.3
2;в том числе:       руководящие работники – всего;4;3;2
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);340;253;96.2
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);244;191;81.8
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;11;11;4.6
6;русского языка и литературы;16;15;7.9
7;языка народов России и литературы;;;
8;истории, экономики, права, обществознания;14;7;1.4
9;информатики;14;9;11.6
10;физики;15;11;7.7
11;математики;15;14;4.4
12;химии;19;17;6.6
13;географии;6;6;2.7
14;биологии;13;10;5.4
15;иностранных языков;35;31;10.2
16;из них:                      английского языка;33;29;10.2
17;немецкого языка;;;
18;французского языка;1;1;
19;китайского языка;;;
20;физической культуры;22;8;8.4
21;труда (технологии);13;6;4.8
22;музыки и пения;19;17;8.5
23;изобразительного искусства, черчения;7;7;3.3
24;основ безопасности и защиты Родины;3;1;2.1
25;основ духовно-нравственной культуры народов России;;;
26;прочих предметов;22;21;1.9
27;учителя-логопеды;9;9;1.5
28;учителя-дефектологи;;;
29;из них:                олигофренопедагог;;;0.1
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;1;1;
33;педагоги дополнительного образования;52;31;13.4
34;педагоги-психологи;5;2;2.5
35;воспитатели;5;4;1
36;мастера производственного обучения;1;;
37;тьюторы;1;1;
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;;;
39;другие;22;14;5.8
40;учебно-вспомогательный персонал;67;26;32.3
41;иной персонал;189;52;72.1
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;7;5;1
46;из них воспитатели;3;3;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;;;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;27;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);6;;
53;из них женщин;6;;
54;в том числе:          врачи всех специальностей;;;
55;медицинские сестры;6;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;144;;
