;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Всего (сумма граф 4 – 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 06);98346;9974;10244;10598;10341;10378;9754;9725;9825;9619;4390;3470;20;8
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05);98085;9973;10215;10562;10307;10350;9735;9715;9812;9560;4378;3450;20;8
3;в том числе обучались:       очно;97564;9968;10208;10558;10296;10333;9725;9693;9787;9510;4156;3330;;
4;очно-заочно;311;5;6;4;11;12;8;14;18;35;88;101;9;
5;заочно;210;;1;;;5;2;8;7;15;134;19;11;8
6;Численность экстернов, окончивших данный класс;261;1;29;36;34;28;19;10;13;59;12;20;;
7;из них (из стр.06)  обучались:       в форме семейного образования;231;1;23;24;27;28;19;10;13;59;11;16;;
8;в форме самообразования;5;;;;;;;;;;1;4;;
9;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;
