;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);1518;90;43;16;133;112;205;169;174;180;170;173;17;32;4
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);1518;90;43;16;133;112;205;169;174;180;170;173;17;32;4
3;в том числе (из строки 02) обучались:       очно;1505;89;43;16;130;112;204;169;174;178;168;170;17;31;4
4;очно-заочно;13;1;;;3;;1;;;2;2;3;;1;
5;заочно;;;;;;;;;;;;;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;1133;83;;;82;88;134;135;133;149;165;164;;;
7;10 лет;81;;19;12;28;5;6;;1;;1;;9;;
8;11 лет;99;;;3;6;5;37;5;;;;9;7;27;
9;12 лет;102;7;;;8;9;23;14;9;23;;;;5;4
10;13 лет;103;;24;1;9;5;5;15;31;8;4;;1;;
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);;;;;;;;;;;;;;;
12;в том числе по программам с нормативным сроком освоения:       9 лет;;;;;;;;;;;;;;;
13;10 лет;;;;;;;;;;;;;;;
14;11 лет;;;;;;;;;;;;;;;
15;12 лет;;;;;;;;;;;;;;;
16;13 лет;;;;;;;;;;;;;;;
17;Из строки 11 – обучались:       в форме семейного образования;;;;;;;;;;;;;;;
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
