;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);764;493;360.7
2;в том числе:       руководящие работники – всего;7;7;7.4
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);511;369;231.5
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);382;281;182.1
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;34;34;19.4
6;русского языка и литературы;24;23;10.1
7;языка народов России и литературы;5;5;1.8
8;истории, экономики, права, обществознания;13;10;6.9
9;информатики;21;11;11.1
10;физики;24;15;13.3
11;математики;19;17;9.4
12;химии;32;27;16.5
13;географии;14;8;6
14;биологии;21;16;7.4
15;иностранных языков;47;43;20.6
16;из них:                      английского языка;38;35;17
17;немецкого языка;6;5;2.7
18;французского языка;3;3;0.9
19;китайского языка;;;
20;физической культуры;15;4;6.5
21;труда (технологии);29;10;15.1
22;музыки и пения;18;12;7.9
23;изобразительного искусства, черчения;12;10;6.4
24;основ безопасности и защиты Родины;8;2;3.3
25;основ духовно-нравственной культуры народов России;4;;1.3
26;прочих предметов;42;34;25.3
27;учителя-логопеды;11;11;6.1
28;учителя-дефектологи;1;1;0.5
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;2;2;0.6
33;педагоги дополнительного образования;55;29;23.2
34;педагоги-психологи;12;12;3.7
35;воспитатели;4;4;2.8
36;мастера производственного обучения;7;3;3.1
37;тьюторы;;;
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;1;1;0.5
39;другие;36;25;11.3
40;учебно-вспомогательный персонал;82;43;40.3
41;иной персонал;164;74;81.8
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;3;3;1.8
46;из них воспитатели;3;3;1.8
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;3;3;
48;из них учителя;3;3;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;16;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;1;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;1;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);289;;
53;из них женщин;274;;
54;в том числе:          врачи всех специальностей;24;;
55;медицинские сестры;265;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;277;;
