;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;532
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;525
3;Коллегиальные органы управления;527
4;в том числе:       общее собрание;484
5;педагогический совет;521
6;попечительский совет;397
7;управляющий совет;403
8;наблюдательный совет;13
9;другие;78
10;Советы обучающихся;466
11;Советы родителей;463
12;Профессиональные союзы работников;511
13;из строки 03 с участием общественности (родителей, работодателей);381
14;Организация реализует профориентационный минимум;465
15;в том числе:       на базовом уровне;183
16;на основном уровне;150
17;на продвинутом уровне;169
