;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);28279;2631;1811;3694;3459;3195;13489;18672;2097;1411;2629;2234;1871;8430;9607
2;в том числе:       руководящие работники – всего;1888;34;43;153;248;260;1150;1666;51;50;181;220;218;946;222
3;из них:             директор;507;5;4;19;46;62;371;503;6;8;39;51;61;338;4
4;заместители директора;1349;28;36;129;198;195;763;1144;44;41;138;163;157;601;205
5;руководитель филиала;13;1;;1;2;2;7;9;1;;1;4;;3;4
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);16884;1652;1150;2244;2050;1735;8053;16722;1974;1326;2398;1982;1637;7405;162
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);13986;1212;877;1758;1655;1448;7036;13877;1375;993;1875;1630;1403;6601;109
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;4173;300;257;484;457;446;2229;4149;327;290;483;467;462;2120;24
9;русского языка и литературы;1766;130;104;177;174;173;1008;1755;137;118;187;174;168;971;11
10;языка народов России и литературы;236;17;17;20;25;20;137;235;18;21;21;22;16;137;1
11;истории, экономики, права, обществознания;830;95;66;126;104;81;358;817;114;63;133;101;78;328;13
12;информатики;291;34;27;56;62;33;79;289;44;31;68;54;25;67;2
13;физики;400;22;16;52;28;28;254;398;31;19;54;29;26;239;2
14;математики;1232;117;81;148;128;122;636;1219;136;100;160;123;110;590;13
15;химии;310;22;15;30;30;26;187;307;25;18;38;25;27;174;3
16;географии;445;30;14;58;48;38;257;442;35;19;60;49;35;244;3
17;биологии;428;32;23;40;45;41;247;428;44;23;48;39;40;234;
18;иностранных языков;1499;167;108;285;273;199;467;1487;169;114;297;278;189;440;12
19;из них:                         английского языка;1412;160;104;273;263;188;424;1400;162;108;284;267;180;399;12
20;немецкого языка;61;5;2;10;6;8;30;61;5;4;10;7;7;28;
21;французского языка;22;1;2;1;4;1;13;22;1;2;2;3;1;13;
22;китайского языка;1;1;;;;;;1;1;;;;;;
23;физической культуры;937;92;61;123;127;99;435;931;104;73;144;124;87;399;6
24;труда (технологии);496;43;24;44;65;53;267;489;59;34;56;53;48;239;7
25;музыки и пения;345;29;18;30;26;33;209;340;31;17;37;30;34;191;5
26;изобразительного искусства, черчения;171;14;17;33;15;20;72;167;16;17;32;15;23;64;4
27;основ безопасности и защиты Родины;140;19;4;15;14;9;79;137;26;7;19;14;8;63;3
28;основ духовно-нравственной культуры народов России;24;4;4;;1;5;10;24;4;4;;2;4;10;
29;прочих предметов;263;45;21;37;33;22;105;263;55;25;38;31;23;91;
30;учителя-логопеды;208;26;15;31;38;22;76;206;31;20;40;30;19;66;2
31;учителя-дефектологи;98;11;11;25;17;6;28;97;12;13;23;17;6;26;1
32;из них:                   олигофренопедагог;48;4;4;13;11;2;14;47;5;5;11;11;1;14;1
33;тифлопедагог;5;1;;3;;;1;5;1;;3;;;1;
34;сурдопедагог;5;;;1;;;4;5;;;1;;2;2;
35;социальные педагоги;134;21;8;16;29;16;44;131;29;12;21;24;13;32;3
36;педагоги дополнительного образования;280;35;27;38;34;19;127;278;57;30;45;31;14;101;2
37;педагоги-психологи;391;68;38;79;56;45;105;384;84;46;79;51;42;82;7
38;воспитатели;975;149;93;158;114;103;358;963;203;100;152;121;89;298;12
39;мастера производственного обучения;1;;;;;;1;1;;;;;;1;
40;тьюторы;84;20;9;13;8;8;26;80;26;12;13;8;4;17;4
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;165;29;23;35;33;17;28;160;41;28;37;21;14;19;5
42;другие;562;81;49;91;66;51;224;545;116;72;113;49;33;162;17
43;учебно-вспомогательный персонал;1945;230;136;274;249;256;800;178;46;20;36;19;13;44;1767
44;иной персонал;7562;715;482;1023;912;944;3486;106;26;15;14;13;3;35;7456
45;из них:             ассистент (помощник);8;3;;1;;;4;;;;;;;;8
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;694;121;78;137;82;73;203;689;166;94;128;77;65;159;5
49;из них воспитатели;595;101;73;120;74;63;164;590;142;88;112;70;53;125;5
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;32;3;1;3;1;2;22;32;3;1;3;1;2;22;
51;из них учителя;32;3;1;3;1;2;22;32;3;1;3;1;2;22;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
