;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);40801.25;37157.69;34310.17;28460;3928;730;1767;4109;3695;28279;585
2;в том числе:       руководящие работники – всего;2049.67;1933.39;1885.14;1898;182;3;125;207;195;1888;44
3;из них:             директор;518;490;481;501;40;;21;48;40;507;10
4;заместители директора;1478.62;1370.94;1318.19;1312;130;3;94;143;133;1349;34
5;руководитель филиала;15.5;14.5;14.5;13;;;;1;1;13;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);26285.74;24010.38;21883.62;17083;2270;200;1493;2420;2263;16884;217
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);21786.84;20176.18;18339.03;14271;1678;125;1153;1902;1778;13986;18
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;5689;5396.34;4977.72;4263;373;64;221;426;391;4173;3
9;русского языка и литературы;2718.16;2523.87;2308.13;1806;188;5;134;213;200;1766;3
10;языка народов России и литературы;339.37;308.7;278.43;254;21;;17;32;32;236;1
11;истории, экономики, права, обществознания;1263.52;1172.04;1076.54;816;121;7;93;115;106;830;4
12;информатики;425.1;389.49;349.59;302;46;2;35;55;51;291;
13;физики;584.84;542.68;494.11;407;60;1;46;69;67;400;1
14;математики;2133.59;1961.63;1771.83;1236;175;5;128;187;174;1232;2
15;химии;409.92;381.01;345.81;327;41;1;33;53;50;310;
16;географии;637.89;590.53;544.55;454;54;2;34;59;56;445;
17;биологии;627.34;585.9;532.61;425;51;1;37;52;48;428;
18;иностранных языков;2056.09;1920.93;1761.81;1592;173;6;141;252;240;1499;3
19;из них:                         английского языка;1940.77;1774.88;1602.93;1430;157;5;121;204;190;1412;3
20;немецкого языка;58.83;58.16;55.57;84;2;;2;24;23;61;
21;французского языка;22.94;19.44;17.85;30;;;;8;8;22;
22;китайского языка;0.72;0.72;0.72;;1;;1;;;1;
23;физической культуры;1343.99;1258.05;1137.99;992;115;10;76;158;149;937;
24;труда (технологии);672.58;631.27;578.1;475;87;8;55;62;59;496;
25;музыки и пения;448.8;414.12;373.95;347;53;7;28;57;50;345;1
26;изобразительного искусства, черчения;267.55;239.39;212.83;177;24;3;12;36;34;171;
27;основ безопасности и защиты Родины;239.53;211.58;186.25;129;28;1;20;22;20;140;
28;основ духовно-нравственной культуры народов России;87.94;71.87;62.39;15;3;;2;;;24;
