;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);4528;1619;2395;448;15;13;;38;54;4407;111;10
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;150;40;87;10;4;6;;3;;132;18;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;26;;9;8;;6;;3;;10;16;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;52;30;22;;;;;;;52;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;3887;1546;2140;158;11;5;;27;4;3843;43;1
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;369;195;167;7;;;;;;369;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;52;25;27;;;;;;;52;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;219;;63;156;;;;;;215;2;2
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;85;;12;73;;;;;1;85;;
10;в связи с переходом на семейное образование и самообразование;97;28;58;6;;1;;4;;87;8;2
11;по болезни;;;;;;;;;;;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;16;;13;2;;1;;;4;16;;
13;выбыло по другим причинам;74;5;22;43;;;;4;45;29;40;5
