;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);10650;473;279;667;907;947;7377;6571;451;298;522;578;499;4223;4079
2;в том числе:       руководящие работники – всего;691;5;6;18;36;75;551;617;11;12;20;43;62;469;74
3;из них:             директор;241;;2;3;6;17;213;238;;5;6;11;22;194;3
4;заместители директора;444;5;4;15;30;56;334;377;11;7;14;32;40;273;67
5;руководитель филиала;5;;;;;1;4;2;;;;;;2;3
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);5907;362;196;408;522;476;3943;5806;425;273;491;522;419;3676;101
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);4933;312;153;342;419;372;3335;4856;328;207;401;425;330;3165;77
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1496;80;49;110;138;129;990;1481;91;63;123;145;107;952;15
9;русского языка и литературы;609;39;5;24;33;29;479;598;32;7;33;37;25;464;11
10;языка народов России и литературы;130;2;4;3;7;10;104;129;1;5;3;7;11;102;1
11;истории, экономики, права, обществознания;307;30;13;24;32;18;190;299;27;15;25;32;20;180;8
12;информатики;88;8;2;13;8;16;41;85;7;4;15;11;11;37;3
13;физики;142;6;1;11;5;10;109;140;6;3;12;7;6;106;2
14;математики;475;24;16;33;31;15;356;471;32;17;36;25;21;340;4
15;химии;121;11;1;7;2;7;93;119;10;3;8;2;8;88;2
16;географии;116;6;2;5;8;2;93;115;10;;4;6;3;92;1
17;биологии;153;10;4;8;7;11;113;152;13;7;9;9;10;104;1
18;иностранных языков;507;37;24;55;81;70;240;498;37;27;64;73;65;232;9
19;из них:                         английского языка;497;37;24;55;81;69;231;488;37;27;64;73;64;223;9
20;немецкого языка;4;;;;;1;3;4;;;;;1;3;
21;французского языка;5;;;;;;5;5;;;;;;5;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;305;29;18;28;32;16;182;299;28;24;30;36;16;165;6
24;труда (технологии);205;13;5;12;15;14;146;202;17;11;20;17;9;128;3
25;музыки и пения;83;7;4;3;8;10;51;77;4;5;6;8;7;47;6
26;изобразительного искусства, черчения;56;3;2;1;3;6;41;52;1;4;2;3;2;40;4
27;основ безопасности и защиты Родины;87;4;1;4;5;4;69;86;8;8;7;4;3;56;1
28;основ духовно-нравственной культуры народов России;11;;;;1;;10;11;;1;1;1;;8;
29;прочих предметов;42;3;2;1;3;5;28;42;4;3;3;2;6;24;
30;учителя-логопеды;60;3;4;8;9;6;30;58;4;5;10;6;6;27;2
31;учителя-дефектологи;48;1;1;1;4;8;33;48;2;1;5;3;7;30;
32;из них:                   олигофренопедагог;29;;;;2;4;23;29;;;2;;5;22;
33;тифлопедагог;;;;;;;;;;;;;;;
34;сурдопедагог;1;;;;;;1;1;;;;;;1;
35;социальные педагоги;104;4;1;9;17;11;62;101;9;7;8;13;7;57;3
36;педагоги дополнительного образования;56;8;1;3;7;2;35;53;12;3;5;2;3;28;3
37;педагоги-психологи;93;5;4;13;17;12;42;93;9;5;17;20;11;31;
38;воспитатели;400;7;14;19;27;41;292;397;25;23;29;33;36;251;3
39;мастера производственного обучения;7;;;;2;;5;7;1;;1;;;5;
40;тьюторы;9;1;;2;;2;4;9;2;1;1;2;1;2;
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;80;14;9;7;11;11;28;77;21;11;6;8;9;22;3
42;другие;117;7;9;4;9;11;77;107;12;10;8;10;9;58;10
43;учебно-вспомогательный персонал;562;27;17;42;69;60;347;60;13;2;4;6;8;27;502
44;иной персонал;3490;79;60;199;280;336;2536;88;2;11;7;7;10;51;3402
45;из них:             ассистент (помощник);;;;;;;;;;;;;;;
46;сурдопереводчик;1;;;;;;1;;;;;;;;1
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;213;2;10;14;23;21;143;212;12;16;23;21;16;124;1
49;из них воспитатели;195;1;9;13;21;17;134;194;10;15;21;19;13;116;1
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;32;;;1;3;1;27;32;;1;3;3;1;24;
51;из них учителя;29;;;;3;1;25;29;;1;1;2;1;24;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
