;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);15159.32;13735.13;13124.8;10599;1440;397;690;1389;1360;10650;664
2;в том числе:       руководящие работники – всего;795.61;759.56;740.31;679;66;2;52;59;57;691;11
3;из них:             директор;244;239;233;235;16;;14;13;11;241;1
4;заместители директора;542.61;506.26;479.51;428;49;2;37;45;45;444;10
5;руководитель филиала;4.5;4.5;4.5;5;1;;1;1;1;5;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);9146.99;8244.69;7877.4;5900;823;91;588;816;799;5907;399
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);7347.72;6838.42;6560.27;4936;674;68;490;673;658;4933;245
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1953.98;1865.34;1815.85;1540;141;22;100;181;176;1496;22
9;русского языка и литературы;945.71;885.26;857.68;592;95;2;72;89;86;609;42
10;языка народов России и литературы;145.26;137.41;133.64;136;10;;6;11;11;130;1
11;истории, экономики, права, обществознания;453.7;425.73;411.5;300;51;6;41;45;45;307;13
12;информатики;161.58;134.89;128.76;92;14;1;9;17;17;88;13
13;физики;220.17;198.99;184.26;140;25;;23;20;20;142;19
14;математики;795.81;740.87;718.89;458;79;4;60;64;62;475;55
15;химии;154.24;141.79;131.4;119;23;4;17;19;19;121;9
16;географии;199.03;185.78;176.27;110;15;;13;8;7;116;2
17;биологии;216.45;201.17;189.43;157;18;1;12;22;22;153;7
18;иностранных языков;785.17;714.27;695.76;502;86;3;68;78;75;507;29
19;из них:                         английского языка;770.68;700.41;684.4;489;80;3;62;70;66;497;29
20;немецкого языка;5.74;5.34;4.84;4;2;;2;2;2;4;
21;французского языка;4.92;4.52;4.52;7;;;;2;2;5;
22;китайского языка;;;;;;;;;;;
23;физической культуры;430.21;409.03;385.95;313;45;15;26;46;46;305;7
24;труда (технологии);311.12;281.76;264.88;202;27;5;16;29;29;205;13
25;музыки и пения;122.42;109.43;96.81;84;12;3;4;12;12;83;5
26;изобразительного искусства, черчения;91.08;82.38;75.71;55;12;2;8;9;9;56;2
27;основ безопасности и защиты Родины;112.83;101.75;94.49;86;13;;9;11;11;87;3
28;основ духовно-нравственной культуры народов России;32.96;28.93;24.53;7;3;;1;2;2;11;
29;прочих предметов;216;193.64;174.46;43;5;;5;10;9;42;3
30;учителя-логопеды;103.04;78.19;72.59;56;9;1;7;6;5;60;15
31;учителя-дефектологи;49.1;37.6;33.25;45;1;;1;3;3;48;9
32;из них:                      олигофренопедагог;6.8;3.8;3.05;24;;;;1;1;29;
33;тифлопедагог;;;;;;;;;;;
34;сурдопедагог;1;1;1;1;;;;;;1;
35;социальные педагоги;182.59;144.29;136.29;114;13;1;11;17;17;104;9
36;педагоги дополнительного образования;263.01;189.49;165.84;49;15;4;9;10;10;56;25
37;педагоги-психологи;164.3;123.45;115.85;96;20;;17;26;25;93;23
38;воспитатели;565.42;450.91;433.62;415;38;10;16;44;44;400;44
