;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);604;375;328.9
2;в том числе:       руководящие работники – всего;16;14;11.5
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);386;274;189.2
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);248;181;148.3
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;20;20;28.7
6;русского языка и литературы;17;17;16.5
7;языка народов России и литературы;6;5;2
8;истории, экономики, права, обществознания;16;13;10.5
9;информатики;8;6;4.9
10;физики;20;11;8.4
11;математики;17;12;14.4
12;химии;21;20;6.2
13;географии;7;7;4
14;биологии;19;13;7.4
15;иностранных языков;25;22;13.8
16;из них:                      английского языка;19;16;12.8
17;немецкого языка;3;3;0.6
18;французского языка;2;2;
19;китайского языка;;;
20;физической культуры;20;2;9.9
21;труда (технологии);14;4;8.8
22;музыки и пения;15;13;7.7
23;изобразительного искусства, черчения;4;4;1.7
24;основ безопасности и защиты Родины;7;;3.1
25;основ духовно-нравственной культуры народов России;1;1;
26;прочих предметов;11;11;6.5
27;учителя-логопеды;7;7;4.5
28;учителя-дефектологи;5;5;3.5
29;из них:                олигофренопедагог;1;1;0.5
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;2;2;1.5
33;педагоги дополнительного образования;79;38;19.8
34;педагоги-психологи;33;30;9.5
35;воспитатели;8;8;3.5
36;мастера производственного обучения;;;
37;тьюторы;;;
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;1;1;0.8
39;другие;3;2;1.3
40;учебно-вспомогательный персонал;26;12;8.8
41;иной персонал;176;75;102
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;1;1;
46;из них воспитатели;;;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;;;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;3;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;1;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);24;;
53;из них женщин;22;;
54;в том числе:          врачи всех специальностей;5;;
55;медицинские сестры;19;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;114;;
