;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование образовательных программ;Численность обучающихся по образовательным программам - всего, чел;Сетевая форма реализации образовательных программ численность обучающихся (из графы 3) по программам, реализуемым с использованием сетевой формы - всего, чел;Сетевая форма реализации образовательных программ число органи-заций, с которыми заключены дого-воры на реализа-цию образователь-ных программ с использованием сетевой формы, единиц , ед;Электронное обучение численность обучающихся (из графы 3) с применением электронного обучения , чел;Электронное обучение в том числе (из графы 6) с применением исключительно электронного обучения, чел;Дистанционные образовательные технологии численность обучающихся (из графы 3) с применением дистанционных образовательных технологий, чел;Дистанционные образовательные технологии в том числе (из графы 8) с применением исключительно дистанционных образовательных технологий, чел
1;Всего по образовательным программам (сумма строк 02, 12, 22, 32);152414;6870;;17335;102;7736;32
2;Образовательные программы начального общего образования;58544;1626;7;6459;42;2799;14
3;из них адаптированные;2939;49;1;318;42;148;
4;в том числе:           для глухих;45;;;42;42;;
5;для слабослышащих и позднооглохших;85;1;;5;;3;
6;для слепых;9;;;;;;
7;для слабовидящих;100;;;6;;4;
8;с тяжелыми нарушениями речи;763;10;;64;;34;
9;с нарушениями опорно-двигательного аппарата;105;2;;20;;13;
10;с задержкой психического развития;1725;34;1;167;;87;
11;с расстройствами аутистического спектра;107;2;;14;;7;
12;Образовательные программы основного общего образования;74042;3751;50;8548;33;3551;14
13;из них адаптированные;3876;109;;419;33;227;1
14;в том числе:           для глухих;36;;;33;33;;
15;для слабослышащих и позднооглохших;101;1;;10;;8;
16;для слепых;10;;;1;;1;
17;для слабовидящих;152;8;;20;;16;
18;с тяжелыми нарушениями речи;500;8;;46;;29;1
19;с нарушениями опорно-двигательного аппарата;108;2;;13;;14;
20;с задержкой психического развития;2920;88;;286;;153;
21;с расстройствами аутистического спектра;49;2;;10;;6;
22;Образовательные программы среднего общего образования;17628;1447;41;2266;10;1309;4
23;из них адаптированные;428;18;;48;10;25;
24;в том числе:           для глухих;13;;;10;10;2;
25;для слабослышащих и позднооглохших;27;;;4;;3;
26;для слепых;2;;;;;;
27;для слабовидящих;26;1;;3;;4;
28;с тяжелыми нарушениями речи;55;1;;3;;1;
29;с нарушениями опорно-двигательного аппарата;32;;;;;3;
30;с задержкой психического развития;267;16;;28;;12;
31;с расстройствами аутистического спектра;6;;;;;;
32;Программы образования обучающихся с умственной отсталостью (интеллектуальными нарушениями);2200;46;3;62;17;77;
33;Справочно. Код по ОКЕИ: человек – 792  Из общей численности обучающихся (из графы 3 подраздела 1.3.) – лица, имеющие кохлеарные импланты и обучающиеся по программам:    начального общего образования (из строки 02);89;;;;;;
34;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;69;;;;;;
35;основного общего образования (из строки 12);149;;;;;;
36;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;138;;;;;;
37;среднего общего образования (из строки 22);201;;;;;;
38;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;4;;;;;;
39;образования обучающихся с умственной отсталостью    (интеллектуальными нарушениями) (из строки 32);309;;;;;;
40;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;183;;;;;;
