;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;40024;2497;22021;15506;39874;136;14
2;из них:        русский язык;3457;299;1882;1276;3457;;
3;литературное чтение;41;41;;;41;;
4;родной язык и (или) государственный язык       республики Российской Федерации;1068;32;739;297;1068;;
5;литературное чтение на родном языке;110;110;;;110;;
6;окружающий мир;426;426;;;426;;
7;математика;16026;625;8281;7120;15882;131;13
8;изобразительное искусство;240;38;200;2;240;;
9;музыка;217;32;179;6;217;;
10;труд (технология);682;32;650;;682;;
11;физическая культура;453;32;133;288;453;;
12;литература;2975;;592;2383;2971;4;
13;родная литература;834;;530;304;834;;
14;иностранный язык;7264;1182;4497;1585;7264;;
15;из них:              английский;7156;1182;4389;1585;7156;;
16;немецкий;17;;;17;17;;
17;французский;171;;153;18;171;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;341;;301;40;341;;
21;другие восточные языки;33;;33;;33;;
22;информатика;7411;;3833;3578;7397;14;
23;история;2174;;575;1599;2163;11;
24;обществознание;7621;;1580;6041;7497;123;1
25;география;1121;;485;636;1120;;1
26;физика;3904;;1623;2281;3903;1;
27;химия;3888;;1145;2743;3887;1;
28;биология;7622;;3712;3910;7622;;
29;основы безопасности и защиты Родины;400;;114;286;400;;
