;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);32178;17799;16283;4;88;;17;7052;3318;2203;7070;4474;34;60;25131;
2;в том числе:       руководящие работники – всего;1998;1850;1683;1;25;;2;118;73;8;403;211;7;3;1539;
3;из них:             директор;600;570;534;1;10;;1;17;15;;122;59;;1;335;
4;заместители директора;1376;1247;1088;;13;;1;93;54;8;263;140;6;2;1184;
5;руководитель филиала;16;14;8;;;;;2;1;;;1;;;14;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);18068;14472;14090;3;61;;15;3298;3004;73;6606;4230;27;56;15230;10458.2
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);13711;11552;11385;;50;;14;2042;1934;28;5849;3441;26;53;11372;7834.7
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;3440;2642;2629;;4;;;781;771;4;1713;776;4;15;3407;2329.6
9;русского языка и литературы;1480;1442;1434;;11;;2;35;34;;761;356;5;8;1445;
10;языка народов России и литературы;580;559;558;;;;;20;19;1;339;142;3;9;555;
11;истории, экономики, права, обществознания;733;692;679;;3;;1;35;30;1;234;237;1;5;486;
12;информатики;384;319;306;;3;;3;58;46;1;111;92;1;1;203;
13;физики;465;456;449;;4;;;9;8;;193;122;;;341;
14;математики;1230;1179;1164;;6;;5;43;40;1;537;326;;2;1145;
15;химии;318;312;306;;1;;;5;5;;138;77;1;3;293;
16;географии;369;346;338;;4;;;16;13;1;166;78;2;1;284;
17;биологии;400;386;379;;3;;1;13;11;;176;98;;1;373;
18;иностранных языков;1164;1096;1086;;6;;2;66;65;;410;352;6;1;1082;
19;из них:                         английского языка;1121;1047;1031;;5;;1;64;63;;371;332;6;1;1039;
20;немецкого языка;5;5;5;;;;;;;;4;;;;5;
21;французского языка;13;13;13;;;;;;;;11;;;;13;
22;китайского языка;8;7;6;;1;;1;1;1;;3;;;;7;
23;физической культуры;1113;819;814;;;;;278;267;4;366;286;;1;408;
24;труда (технологии);750;465;435;;;;;264;234;8;260;196;1;2;418;
25;музыки и пения;331;159;147;;1;;;162;149;3;96;70;;3;275;
26;изобразительного искусства, черчения;240;147;143;;;;;87;86;1;108;55;1;;198;
27;основ безопасности и защиты Родины;199;137;131;;;;;58;53;2;60;55;;;18;
28;основ духовно-нравственной культуры народов России;34;29;27;;1;;;3;3;1;17;5;;;31;
29;прочих предметов;481;367;360;;3;;;109;100;;164;118;1;1;410;
30;учителя-логопеды;179;160;158;;1;;;17;17;;33;34;;;178;122.8
31;учителя-дефектологи;67;62;62;;;;;5;5;;23;17;;;66;32.5
32;из них:                   олигофренопедагог;15;14;14;;;;;1;1;;3;5;;;15;10
33;тифлопедагог;;;;;;;;;;;;;;;;3
34;сурдопедагог;7;6;6;;;;;1;;;7;;;;7;3
35;социальные педагоги;458;333;309;;;;;118;101;1;67;98;;1;443;254.3
36;педагоги дополнительного образования;665;440;411;;6;;;201;156;7;159;109;;1;482;352.8
37;педагоги-психологи;527;470;454;;1;;1;49;46;;98;102;;;504;288.4
38;воспитатели;1139;597;569;;;;;495;462;9;205;250;;1;1073;499.7
39;мастера производственного обучения;253;109;80;;;;;102;57;18;26;23;;;141;127.8
40;тьюторы;169;138;133;2;2;;;28;23;;15;24;;;157;103.9
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;172;121;106;;;;;45;44;2;17;26;;;159;79.4
42;другие;728;490;423;1;1;;;196;159;8;114;106;1;;655;404.8
43;учебно-вспомогательный персонал;1643;485;231;;1;;;565;111;135;35;17;;1;1397;
44;иной персонал;10469;992;279;;1;;;3071;130;1987;26;16;;;6965;
45;из них:             ассистент (помощник);8;2;1;;;;;3;;;;;;;8;26
46;сурдопереводчик;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;625;269;255;;;;;285;258;1;90;139;;2;618;
49;из них воспитатели;550;224;211;;;;;256;234;;78;111;;1;546;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;46;32;32;;;;;3;2;;7;7;;;32;
51;из них учителя;44;32;32;;;;;3;2;;7;7;;;30;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;243;191;185;;;;;42;35;1;69;60;;;183;
53;из них учителя - всего;173;129;126;;;;;32;31;1;44;37;;;121;
54;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;59;43;41;;;;;9;8;;12;13;;;49;
55;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;1617;1193;1115;2;3;;;175;164;1;419;296;4;3;936;
56;Из общей численности учителей-дефектологов (строка 31 графа 3) - учителя, имеющие специальное дефектологическое образование;43;33;;;;;;;;;;;;;;
57;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из стр. 02, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;1457;;;;;;;;;;;;;;;
58;из них директор;477;;;;;;;;;;;;;;;
59;Численность педагогических работников (из стр. 06, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;14387;;;;;;;;;;;;;;;
60;из них учителя;9801;;;;;;;;;;;;;;;
61;Кроме того (кроме стр. 01, гр. 03), численность медицинских работников (сумма строк 63, 64);172;;;;;;;;;;;;;;;
62;из них женщин;164;;;;;;;;;;;;;;;
63;в том числе:          врачи всех специальностей;30;;;;;;;;;;;;;;;
64;медицинские сестры;142;;;;;;;;;;;;;;;
65;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;11328;;;;;;;;;;;;;;;
66;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;8079;;;;;;;;;;;;;;;
67;в том числе:       осуществляющих классное руководство в одном классе;7922;;;;;;;;;;;;;;;
68;осуществляющих классное руководство в двух и более класса;157;;;;;;;;;;;;;;;
