;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);32178;2512;1564;3576;3939;3589;16998;20181;2101;1290;2586;2639;2115;9450;11997
2;в том числе:       руководящие работники – всего;1998;28;42;154;299;284;1191;1788;42;62;177;296;223;988;210
3;из них:             директор;600;8;10;37;78;81;386;587;9;16;62;91;69;340;13
4;заместители директора;1376;20;32;113;216;200;795;1188;33;46;111;203;152;643;188
5;руководитель филиала;16;;;4;3;2;7;10;;;4;1;2;3;6
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);18068;1716;949;2053;2280;1990;9080;17726;1942;1159;2334;2249;1846;8196;342
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);13711;1237;666;1494;1708;1524;7082;13529;1287;754;1661;1736;1458;6633;182
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;3440;279;180;314;279;304;2084;3397;280;198;339;284;294;2002;43
9;русского языка и литературы;1480;111;37;131;203;161;837;1462;104;45;154;201;159;799;18
10;языка народов России и литературы;580;22;14;39;58;75;372;580;25;13;44;64;77;357;
11;истории, экономики, права, обществознания;733;75;46;106;124;90;292;721;81;53;111;124;85;267;12
12;информатики;384;70;25;73;65;45;106;370;66;31;83;57;39;94;14
13;физики;465;34;29;65;67;48;222;463;38;27;72;66;42;218;2
14;математики;1230;94;46;124;180;164;622;1216;99;62;131;173;157;594;14
15;химии;318;31;28;40;28;27;164;315;36;26;42;27;29;155;3
16;географии;369;38;15;31;37;42;206;361;39;19;32;39;40;192;8
17;биологии;400;28;20;53;50;41;208;392;30;24;54;50;37;197;8
18;иностранных языков;1164;113;49;148;229;211;414;1155;117;54;169;240;195;380;9
19;из них:                         английского языка;1121;109;47;140;226;208;391;1112;111;54;161;236;192;358;9
20;немецкого языка;5;1;;;;;4;5;1;;;;;4;
21;французского языка;13;;;1;1;1;10;13;;;1;1;2;9;
22;китайского языка;8;2;2;1;1;1;1;8;4;;1;1;1;1;
23;физической культуры;1113;138;75;160;175;132;433;1090;143;80;168;185;121;393;23
