;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);1939;1278;1077.9
2;в том числе:       руководящие работники – всего;43;36;29.5
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);1058;789;568
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);732;549;402.3
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;73;73;57.1
6;русского языка и литературы;39;37;26.8
7;языка народов России и литературы;22;21;12.3
8;истории, экономики, права, обществознания;38;24;20
9;информатики;24;15;31.3
10;физики;37;19;17
11;математики;43;40;50.5
12;химии;32;29;13.1
13;географии;25;16;11.5
14;биологии;26;24;15.3
15;иностранных языков;62;56;34.9
16;из них:                      английского языка;53;48;27.4
17;немецкого языка;1;1;1
18;французского языка;2;2;2
19;китайского языка;1;1;
20;физической культуры;54;19;30
21;труда (технологии);43;23;15.6
22;музыки и пения;52;42;37.1
23;изобразительного искусства, черчения;10;7;5
24;основ безопасности и защиты Родины;16;2;7.9
25;основ духовно-нравственной культуры народов России;5;4;1
26;прочих предметов;131;98;58.5
27;учителя-логопеды;10;10;5
28;учителя-дефектологи;3;3;2
29;из них:                олигофренопедагог;2;2;1
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;15;15;9.3
33;педагоги дополнительного образования;129;76;78.5
34;педагоги-психологи;27;25;11
35;воспитатели;32;29;15.5
36;мастера производственного обучения;22;12;8.5
37;тьюторы;13;11;5.3
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;10;10;3.3
39;другие;65;49;26.9
40;учебно-вспомогательный персонал;88;67;43.5
41;иной персонал;750;386;377.9
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;25;21;10.5
46;из них воспитатели;21;18;9.5
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;1;1;1
48;из них учителя;1;1;4
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;138;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;4;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;1;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);56;;
53;из них женщин;47;;
54;в том числе:          врачи всех специальностей;9;;
55;медицинские сестры;47;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;343;;
