;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);32178;1383;1045;2276;1651;3204;2299;4080;3104;3944;3111;3888;3150;3754;3069;3831;3078;3477;2772;2341;1852
2;в том числе:       руководящие работники – всего;1998;10;10;53;33;197;124;333;212;332;245;338;277;259;225;196;168;174;155;106;90
3;из них:             директор;600;1;1;8;3;51;13;91;30;93;41;106;60;81;58;58;42;67;53;44;34
4;заместители директора;1376;9;9;44;29;144;110;238;179;232;198;230;215;176;165;137;124;106;101;60;54
5;руководитель филиала;16;;;1;1;2;1;2;2;5;4;2;2;1;1;;;1;1;2;2
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);18068;1044;839;1648;1267;1998;1548;2418;1988;2201;1875;2033;1763;1845;1649;1883;1683;1794;1584;1204;1034
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);13711;785;615;1209;902;1498;1117;1809;1440;1667;1397;1605;1379;1392;1233;1468;1308;1393;1229;885;752
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;3440;254;247;293;287;273;268;288;287;335;332;468;466;481;475;501;500;383;382;164;163
9;русского языка и литературы;1480;63;56;101;94;134;130;212;205;183;182;173;171;150;150;164;160;168;166;132;131
10;языка народов России и литературы;580;13;12;26;23;46;44;61;59;84;81;124;119;74;73;58;54;52;49;42;41
11;истории, экономики, права, обществознания;733;37;26;88;40;114;62;120;72;81;49;92;67;58;50;59;50;54;48;30;22
12;информатики;384;37;20;54;19;87;43;75;43;42;24;28;16;29;22;15;9;7;4;10;3
13;физики;465;18;9;46;36;76;44;57;44;57;45;28;20;42;38;45;39;49;36;47;30
14;математики;1230;59;53;95;82;129;110;204;192;176;161;119;115;87;86;137;134;128;124;96;88
15;химии;318;16;14;41;40;40;30;28;26;39;36;30;29;19;19;27;27;35;33;43;39
16;географии;369;19;11;29;23;34;25;42;33;47;33;35;26;44;35;39;33;46;37;34;28
17;биологии;400;15;13;33;28;58;52;43;39;50;47;43;41;25;25;37;35;61;61;35;32
18;иностранных языков;1164;52;47;108;86;153;145;264;245;231;217;120;116;38;33;60;58;93;91;45;44
19;из них:                         английского языка;1121;50;44;107;85;147;140;257;238;226;212;114;110;33;28;57;55;88;86;42;41
