;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;19088;3440;10657;4991;19082;5;1
2;из них:        русский язык;892;57;698;137;891;1;
3;литературное чтение;422;422;;;422;;
4;родной язык и (или) государственный язык       республики Российской Федерации;30;;30;;30;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;5156;560;3127;1469;5155;1;
8;изобразительное искусство;;;;;;;
9;музыка;;;;;;;
10;труд (технология);219;95;124;;219;;
11;физическая культура;21;;21;;21;;
12;литература;605;;299;306;605;;
13;родная литература;;;;;;;
14;иностранный язык;6317;2670;3023;624;6317;;
15;из них:              английский;6301;2670;3007;624;6301;;
16;немецкий;179;;179;;179;;
17;французский;;;;;;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;1143;;755;388;1142;1;
23;история;1560;;753;807;1559;;1
24;обществознание;2855;;990;1865;2854;;1
25;география;115;;91;24;115;;
26;физика;1305;;1006;299;1304;1;
27;химия;1902;;1087;815;1902;;
28;биология;2702;;1795;907;2699;3;
29;основы безопасности и защиты Родины;18;;18;;18;;
