;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);89;71;1950;1277
2;в том числе       инженерные;11;4;317;64
3;медицинские;2;8;44;132
4;космические;2;;73;
5;педагогические;16;17;383;357
6;аграрные;4;;110;
7;предпринимательские;;1;;23
8;кадетские;11;4;240;69
9;IT-классы;9;4;239;78
10;другие;34;33;544;554
