;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;1358;103;117;140;151;153;153;143;158;161;37;42;;;;;;;;
2;В них обучающихся (всего), чел.;33567;2595;2973;3547;4002;3917;3753;3340;3972;3700;874;894;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;17;3;1;3;;1;3;;3;3;;;;;3;12;;17;;
4;слабослышащие;44;3;6;4;6;7;2;3;5;5;1;2;;;1;32;;44;;
5;позднооглохшие;;;;;;;;;;;;;;;;;;;;
6;слепые;3;2;;;;;;;1;;;;;;;3;;3;;
7;слабовидящие;44;2;4;4;5;5;5;5;7;2;2;3;;;1;34;;41;3;
8;с тяжелыми нарушениями речи;43;5;4;8;6;7;5;3;4;1;;;;;;8;;43;;
9;с нарушением опорно-двигательного аппарата;228;16;31;27;21;16;33;21;23;26;6;8;;;6;162;;198;26;4
10;с задержкой психического развития;387;26;30;52;56;47;53;40;40;42;;1;;;6;93;5;353;32;2
11;с умственной отсталостью (интеллектуальными          нарушениями);248;7;13;19;22;32;56;35;26;38;;;;;7;105;;192;47;9
12;с расстройствами аутистического спектра;99;22;26;14;11;9;7;3;3;4;;;;;;66;1;94;3;2
13;со сложными дефектами;10;1;;;;1;1;;2;4;1;;;;;6;;10;;
14;с иными ограниченными возможностями          здоровья;864;79;62;78;80;91;76;96;116;110;35;41;;;38;718;2;837;21;6
