;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10);Численность обучающихся по программам начального общего образования – всего (1–4 классы);Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования – всего (5-9 классы);Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования – всего (10-11(12) классы;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-х классов без оставленных на повторное обучение;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 14) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;92645;37769;18198;8558;47650;23491;9708;7226;3768;3825;291;244;83;11
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;3;3;2;3;;;;;;;;;;
3;6 лет;1886;1886;978;1756;;;;;;;;1;1;
4;7 лет;7914;7908;3829;6134;6;;;;;;2;19;5;
5;8 лет;9371;9361;4489;595;10;;;;;;7;30;12;2
6;9 лет;9682;9645;4698;59;37;8;14;;;;24;24;12;3
7;10 лет;10357;8108;3872;4;2249;1152;1991;;;;24;30;10;2
8;11 лет;10049;740;296;2;9309;4662;6865;;;;13;21;6;
9;12 лет;9859;76;19;1;9783;4918;667;;;;27;23;5;
10;13 лет;9429;11;7;;9418;4668;122;;;;28;41;18;
11;14 лет;9329;12;6;2;9309;4509;36;8;2;4;21;29;9;2
12;15 лет;7759;9;1;1;6697;3238;9;1053;568;977;24;17;4;2
13;16 лет;4239;7;;;721;304;4;3511;1865;2521;32;4;;
14;17 лет;2514;3;1;1;56;17;;2455;1270;277;14;3;1;
15;18 лет;159;;;;22;12;;137;61;5;;2;;
16;19 лет;11;;;;7;3;;4;2;3;;;;
17;20 лет;1;;;;1;;;;;;;;;
18;21 год;;;;;;;;;;;;;;
19;22 года;3;;;;3;;;;;;2;;;
20;23 года;3;;;;2;;;1;;1;1;;;
21;24 года;20;;;;6;;;14;;14;19;;;
22;25 лет;11;;;;9;;;2;;;11;;;
23;26 лет;12;;;;;;;12;;9;12;;;
24;27 лет;6;;;;3;;;3;;;6;;;
25;28 лет;18;;;;;;;18;;14;18;;;
26;29 лет;1;;;;;;;1;;;1;;;
27;30–34 года;3;;;;;;;3;;;2;;;
28;35–39 лет;5;;;;1;;;4;;;3;;;
29;40 лет и старше;1;;;;1;;;;;;;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
