;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);6782;2160;3672;930;4;5;3;8;;6748;24;10
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;1072;389;573;106;1;;;3;;1072;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;3;;;;;;;3;;3;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;4757;1704;2628;416;2;1;1;5;;4754;3;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;55;25;22;6;;1;1;;;55;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;1;;1;;;;;;;1;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;312;;185;123;;4;;;;308;4;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;377;;183;193;;;1;;;376;1;
10;в связи с переходом на семейное образование и самообразование;98;34;46;17;;;1;;;87;1;10
11;по болезни;3;;3;;;;;;;3;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;3;;1;2;;;;;;3;;
13;выбыло по другим причинам;160;33;53;73;1;;;;;145;15;
