;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);10449;7462;6642;2;31;;3;1665;660;566;1707;1139;10;12;9055;
2;в том числе:       руководящие работники – всего;798;744;618;2;8;;;33;3;5;156;51;1;;707;
3;из них:             директор;186;185;177;2;5;;;1;;;50;8;;;155;
4;заместители директора;578;525;418;;2;;;22;3;5;89;36;1;;517;
5;руководитель филиала;10;10;8;;;;;;;;;1;;;9;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);6995;6146;5840;;23;;3;738;642;9;1548;1088;9;12;6381;4580.8
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);5813;5176;4991;;22;;3;566;510;6;1444;982;9;12;5319;3849
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1546;1185;1161;;;;;346;324;1;369;300;;1;1543;1002.6
9;русского языка и литературы;625;621;611;;1;;;4;4;;200;112;5;2;619;
10;языка народов России и литературы;623;593;572;;1;;;26;24;;215;108;;3;615;
11;истории, экономики, права, обществознания;347;334;323;;3;;1;8;7;;78;51;2;1;295;
12;информатики;129;122;103;;1;;;4;2;;29;9;;;93;
13;физики;155;149;144;;1;;;2;1;1;39;23;;;130;
14;математики;489;472;460;;2;;;8;7;2;108;95;;1;456;
15;химии;128;127;123;;1;;;1;1;;38;21;;2;121;
16;географии;155;150;144;;;;;3;3;;41;27;;;137;
17;биологии;169;165;160;;3;;;2;2;;46;28;;;163;
18;иностранных языков;639;626;613;;5;;;11;10;;117;107;2;1;623;
19;из них:                         английского языка;597;575;544;;5;;;9;8;;102;95;2;1;581;
20;немецкого языка;37;35;34;;;;;1;1;;6;3;;;37;
21;французского языка;5;5;5;;;;;;;;2;1;;;5;
22;китайского языка;;;;;;;;;;;;;;;;
23;физической культуры;333;295;275;;1;;1;32;29;;77;54;;;150;
24;труда (технологии);167;114;102;;1;;;46;34;1;23;21;;;125;
25;музыки и пения;113;67;64;;1;;;40;37;1;30;15;;;111;
26;изобразительного искусства, черчения;86;58;54;;;;;24;18;;16;7;;1;81;
27;основ безопасности и защиты Родины;73;66;50;;1;;1;6;4;;12;1;;;22;
28;основ духовно-нравственной культуры народов России;6;6;6;;;;;;;;;1;;;6;
29;прочих предметов;30;26;26;;;;;3;3;;6;2;;;29;
30;учителя-логопеды;29;28;28;;;;;1;1;;6;1;;;28;14.2
31;учителя-дефектологи;32;30;29;;;;;2;2;;5;2;;;32;23.1
32;из них:                   олигофренопедагог;3;3;3;;;;;;;;;;;;3;
33;тифлопедагог;2;2;2;;;;;;;;1;;;;2;1
34;сурдопедагог;9;9;9;;;;;;;;4;;;;9;11
35;социальные педагоги;32;25;21;;;;;7;5;;3;2;;;32;14
36;педагоги дополнительного образования;220;175;136;;;;;30;15;1;12;12;;;137;126.3
37;педагоги-психологи;159;151;137;;1;;;5;4;;22;14;;;155;91
38;воспитатели;383;284;269;;;;;88;83;;43;56;;;374;211.2
39;мастера производственного обучения;;;;;;;;;;;;;;;;2
40;тьюторы;111;94;79;;;;;14;7;;5;2;;;111;68.5
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;79;68;57;;;;;8;7;1;1;7;;;74;37.1
42;другие;137;115;93;;;;;17;8;1;7;10;;;119;69.4
43;учебно-вспомогательный персонал;387;265;96;;;;;81;8;18;3;;;;328;
44;иной персонал;2269;307;88;;;;;813;7;534;;;;;1639;
45;из них:             ассистент (помощник);11;10;10;;;;;;;;;;;;10;9
46;сурдопереводчик;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;80;62;57;;;;;18;16;;3;11;;;79;
49;из них воспитатели;50;35;30;;;;;15;15;;2;9;;;50;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;35;35;33;;;;;;;;15;5;;;35;
51;из них учителя;32;32;26;;;;;;;;13;5;;;32;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;39;35;11;;;;;1;1;;3;2;;;15;
53;из них учителя - всего;23;21;5;;;;;;;;1;;;;2;
54;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;6;6;4;;;;;;;;1;;;;1;
55;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;77;64;49;;;;;4;4;;12;4;;;54;
56;Из общей численности учителей-дефектологов (строка 31 графа 3) - учителя, имеющие специальное дефектологическое образование;11;11;;;;;;;;;;;;;;
57;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из стр. 02, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;351;;;;;;;;;;;;;;;
58;из них директор;96;;;;;;;;;;;;;;;
59;Численность педагогических работников (из стр. 06, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;3848;;;;;;;;;;;;;;;
60;из них учителя;2938;;;;;;;;;;;;;;;
61;Кроме того (кроме стр. 01, гр. 03), численность медицинских работников (сумма строк 63, 64);57;;;;;;;;;;;;;;;
62;из них женщин;51;;;;;;;;;;;;;;;
63;в том числе:          врачи всех специальностей;18;;;;;;;;;;;;;;;
64;медицинские сестры;39;;;;;;;;;;;;;;;
65;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;3120;;;;;;;;;;;;;;;
66;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;2621;;;;;;;;;;;;;;;
67;в том числе:       осуществляющих классное руководство в одном классе;2577;;;;;;;;;;;;;;;
68;осуществляющих классное руководство в двух и более класса;44;;;;;;;;;;;;;;;
