;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);10449;967;522;972;1056;1152;5780;7680;828;434;757;726;732;4203;2769
2;в том числе:       руководящие работники – всего;798;19;13;43;62;94;567;638;16;11;45;54;62;450;160
3;из них:             директор;186;;;7;12;14;153;186;;;9;17;14;146;
4;заместители директора;578;18;12;35;48;69;396;439;15;10;36;36;45;297;139
5;руководитель филиала;10;;;;1;3;6;9;;;;1;2;6;1
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);6995;761;396;630;660;669;3879;6877;786;410;679;648;647;3707;118
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);5813;533;276;455;491;536;3522;5765;549;293;494;500;529;3400;48
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1546;103;62;111;132;133;1005;1540;100;65;123;133;128;991;6
9;русского языка и литературы;625;49;31;39;38;53;415;622;48;33;44;35;53;409;3
10;языка народов России и литературы;623;17;11;21;35;60;479;622;18;11;22;39;58;474;1
11;истории, экономики, права, обществознания;347;50;16;38;35;32;176;340;49;17;43;31;32;168;7
12;информатики;129;26;12;14;12;18;47;129;27;16;14;11;17;44;
13;физики;155;10;7;13;6;9;110;154;11;6;12;7;10;108;1
14;математики;489;39;20;32;38;39;321;485;44;21;35;40;34;311;4
15;химии;128;15;3;7;9;13;81;126;14;5;8;8;16;75;2
16;географии;155;20;4;10;9;12;100;150;16;4;8;14;12;96;5
17;биологии;169;24;6;12;13;19;95;168;24;6;16;14;16;92;1
18;иностранных языков;639;86;45;71;87;88;262;633;86;50;76;89;88;244;6
19;из них:                         английского языка;597;82;44;70;87;85;229;591;82;49;75;89;85;211;6
20;немецкого языка;37;4;1;1;;3;28;37;4;1;1;;3;28;
21;французского языка;5;;;;;;5;5;;;;;;5;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;333;50;19;44;37;25;158;327;51;18;46;40;29;143;6
24;труда (технологии);167;13;10;12;17;14;101;164;24;10;15;16;13;86;3
25;музыки и пения;113;12;5;7;9;6;74;113;15;5;8;9;6;70;
26;изобразительного искусства, черчения;86;10;12;12;3;6;43;85;11;12;11;4;7;40;1
27;основ безопасности и защиты Родины;73;6;5;6;7;7;42;71;8;6;7;6;8;36;2
28;основ духовно-нравственной культуры народов России;6;2;;1;;;3;6;2;;1;;;3;
29;прочих предметов;30;1;8;5;4;2;10;30;1;8;5;4;2;10;
30;учителя-логопеды;29;2;7;6;8;4;2;29;4;6;7;7;4;1;
31;учителя-дефектологи;32;7;5;6;3;3;8;31;7;5;6;3;3;7;1
32;из них:                   олигофренопедагог;3;;1;1;1;;;3;;1;1;1;;;
33;тифлопедагог;2;;;;1;1;;2;;;;1;1;;
34;сурдопедагог;9;3;1;1;;;4;9;3;1;1;;;4;
35;социальные педагоги;32;3;1;7;3;6;12;31;6;1;7;1;7;9;1
36;педагоги дополнительного образования;220;57;30;31;21;21;60;202;55;31;33;15;16;52;18
37;педагоги-психологи;159;17;16;34;36;20;36;153;16;17;38;35;19;28;6
38;воспитатели;383;62;32;47;54;50;138;367;62;30;52;48;46;129;16
39;мастера производственного обучения;;;;;;;;;;;;;;;
40;тьюторы;111;37;15;21;12;8;18;102;38;14;17;11;6;16;9
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;79;30;5;12;17;5;10;73;31;6;11;14;6;5;6
42;другие;137;13;9;11;15;16;73;124;18;7;14;14;11;60;13
43;учебно-вспомогательный персонал;387;40;20;59;54;55;159;88;7;6;19;9;12;35;299
44;иной персонал;2269;147;93;240;280;334;1175;77;19;7;14;15;11;11;2192
45;из них:             ассистент (помощник);11;1;;1;4;2;3;10;1;;1;4;2;2;1
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;80;8;9;12;16;17;18;80;10;9;14;16;15;16;
49;из них воспитатели;50;2;6;9;9;11;13;50;4;6;11;9;9;11;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;35;2;2;6;7;6;12;35;2;1;6;7;7;12;
51;из них учителя;32;;2;6;6;6;12;32;;1;6;6;7;12;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
