;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;98065;13930;51014;33121;97447;568;50
2;из них:        русский язык;7546;1423;5574;549;7546;;
3;литературное чтение;826;826;;;826;;
4;родной язык и (или) государственный язык       республики Российской Федерации;5196;2009;3069;118;5196;;
5;литературное чтение на родном языке;1253;1253;;;1253;;
6;окружающий мир;;;;;;;
7;математика;36508;3234;15516;17758;36506;2;
8;изобразительное искусство;142;;65;77;142;;
9;музыка;215;62;80;73;215;;
10;труд (технология);155;;155;;155;;
11;физическая культура;128;51;51;26;128;;
12;литература;4021;;1238;2783;3826;195;
13;родная литература;1669;;1529;140;1669;;
14;иностранный язык;28860;6311;19411;3138;28860;;
15;из них:              английский;26287;5631;17728;2928;26287;;
16;немецкий;1512;235;1145;132;1512;;
17;французский;1061;445;538;78;1061;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;7430;;1834;5596;7430;;
23;история;1924;;185;1739;1709;165;50
24;обществознание;14907;;377;14530;14699;208;
25;география;319;;76;243;255;64;
26;физика;6180;;1133;5047;6015;165;
27;химия;7245;;2089;5156;7226;;19
28;биология;9579;;3648;5931;9460;88;31
29;основы безопасности и защиты Родины;238;;238;;238;;
