;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
1;2;3;4;5;6;7;8
№ строки;Наименование показателей;Код государства  по ОКСМ;Всего (сумма граф 5–8);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального об-щего образова-ния (1-4 классы);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам основного об-щего образова-ния (5–9 классы);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам среднего общего образования (10–11(12) классы);Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья
1;Численность обучающихся иностранных граждан - всего;;3659;1850;1686;116;7
2;Афганистан;4;26;15;11;;
3;Азербайджан;31;282;118;147;15;2
4;Бангладеш;50;2;;2;;
5;Армения;51;126;55;63;8;
6;Босния и Герцеговина;70;1;;1;;
7;Беларусь;112;9;2;7;;
8;Китай;156;3;1;2;;
9;Коста-Рика;188;1;;;;1
10;Франция;250;1;1;;;
11;Грузия;268;5;3;2;;
12;Германия;276;6;3;3;;
13;Ирак;368;1;1;;;
14;Казахстан;398;114;49;55;9;1
15;Корея, Народно-Демократическая Республика;408;2;1;;1;
16;Корея, Республика;410;2;1;1;;
17;Киргизия;417;471;227;231;12;1
18;Латвия;428;3;1;2;;
19;Литва;440;1;;1;;
20;Молдова, Республика;498;5;2;1;2;
21;Пакистан;586;2;2;;;
22;Вьетнам;704;32;13;13;6;
23;Сирийская Арабская Республика;760;8;2;6;;
24;Таджикистан;762;1605;881;701;21;2
25;Объединенные Арабские Эмираты;784;2;1;1;;
26;Турция;792;11;3;5;3;
27;Туркменистан;795;43;15;24;4;
28;Украина;804;13;5;8;;
29;Египет;818;2;2;;;
30;Узбекистан;860;880;446;399;35;
31;;;;;;;
32;;;;;;;
33;;;;;;;
34;;;;;;;
35;;;;;;;
36;;;;;;;
37;;;;;;;
38;;;;;;;
39;;;;;;;
40;;;;;;;
41;;;;;;;
42;;;;;;;
43;;;;;;;
44;;;;;;;
45;;;;;;;
46;;;;;;;
47;;;;;;;
48;;;;;;;
49;;;;;;;
50;;;;;;;
51;;;;;;;
52;;;;;;;
53;;;;;;;
54;;;;;;;
55;;;;;;;
56;;;;;;;
57;;;;;;;
58;;;;;;;
59;;;;;;;
60;;;;;;;
61;;;;;;;
62;;;;;;;
63;;;;;;;
64;;;;;;;
65;;;;;;;
66;;;;;;;
67;;;;;;;
68;;;;;;;
69;;;;;;;
70;;;;;;;
71;;;;;;;
72;;;;;;;
73;;;;;;;
74;;;;;;;
75;;;;;;;
76;;;;;;;
77;;;;;;;
78;;;;;;;
79;;;;;;;
80;;;;;;;
81;;;;;;;
82;;;;;;;
83;;;;;;;
84;;;;;;;
85;;;;;;;
86;;;;;;;
87;;;;;;;
88;;;;;;;
89;;;;;;;
90;;;;;;;
91;;;;;;;
92;;;;;;;
93;;;;;;;
94;;;;;;;
95;;;;;;;
96;;;;;;;
97;;;;;;;
98;;;;;;;
99;;;;;;;
100;;;;;;;
101;;;;;;;
102;;;;;;;
103;;;;;;;
104;;;;;;;
105;;;;;;;
106;;;;;;;
107;;;;;;;
108;;;;;;;
109;;;;;;;
110;;;;;;;
111;;;;;;;
112;;;;;;;
113;;;;;;;
114;;;;;;;
115;;;;;;;
116;;;;;;;
117;;;;;;;
118;;;;;;;
119;;;;;;;
120;;;;;;;
121;;;;;;;
122;;;;;;;
123;;;;;;;
124;;;;;;;
125;;;;;;;
126;;;;;;;
127;;;;;;;
128;;;;;;;
129;;;;;;;
130;;;;;;;
