;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);6517;440;64;36;589;662;704;734;766;786;834;895;7;;
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);6517;440;64;36;589;662;704;734;766;786;834;895;7;;
3;в том числе (из строки 02) обучались:       очно;6423;432;64;36;580;648;697;713;760;780;818;888;7;;
4;очно-заочно;45;4;;;3;10;5;7;1;1;9;5;;;
5;заочно;49;4;;;6;4;2;14;5;5;7;2;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;5857;405;;;490;584;613;689;712;696;797;871;;;
7;10 лет;313;;38;28;44;20;62;22;27;36;6;23;7;;
8;11 лет;22;;17;4;1;;;;;;;;;;
9;12 лет;249;35;;;49;49;19;16;24;38;18;1;;;
10;13 лет;76;;9;4;5;9;10;7;3;16;13;;;;
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);;;;;;;;;;;;;;;
12;в том числе по программам с нормативным сроком освоения:       9 лет;;;;;;;;;;;;;;;
13;10 лет;;;;;;;;;;;;;;;
14;11 лет;;;;;;;;;;;;;;;
15;12 лет;;;;;;;;;;;;;;;
16;13 лет;;;;;;;;;;;;;;;
17;Из строки 11 – обучались:       в форме семейного образования;;;;;;;;;;;;;;;
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
