;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10);Численность обучающихся по программам начального общего образования – всего (1–4 классы);Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования – всего (5-9 классы);Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования – всего (10-11(12) классы;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-х классов без оставленных на повторное обучение;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 14) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;498383;212894;104008;47825;252136;123188;54669;33353;17398;17946;1038;3652;1553;217
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;;;;;;
3;6 лет;2356;2356;1302;2298;;;;;;;;25;8;1
4;7 лет;42597;42597;21120;39480;;;;;;;;327;133;17
5;8 лет;53749;53749;26315;5893;;;;;;;;413;194;33
6;9 лет;55251;55242;27041;133;9;5;8;;;;;436;177;28
7;10 лет;55664;51835;25120;11;3829;1969;3602;;;;;477;214;31
8;11 лет;55160;6716;2975;3;48444;23955;43074;;;;;415;183;16
9;12 лет;54397;325;106;3;54072;26433;6947;;;;2;378;159;17
10;13 лет;50510;48;22;1;50462;24638;900;;;;1;349;150;18
11;14 лет;48541;13;6;2;48508;23658;125;20;8;6;1;350;143;27
12;15 лет;43111;5;1;;41646;20315;8;1460;798;1367;24;291;118;19
13;16 лет;21114;3;;1;4753;2095;4;16358;8754;14555;106;121;47;9
14;17 лет;13980;2;;;267;92;;13711;7301;1744;101;61;23;1
15;18 лет;1208;;;;63;17;;1145;515;42;84;6;4;
16;19 лет;56;2;;;16;4;;38;13;20;40;;;
17;20 лет;32;;;;6;1;;26;1;11;29;;;
18;21 год;38;1;;;4;1;;33;3;13;33;;;
19;22 года;35;;;;2;1;1;33;1;21;33;;;
20;23 года;38;;;;2;1;;36;;19;38;;;
21;24 года;35;;;;2;1;;33;;20;35;;;
22;25 лет;31;;;;4;1;;27;;16;31;;;
23;26 лет;36;;;;2;;;34;1;18;36;;;
24;27 лет;30;;;;2;;;28;;4;30;;;
25;28 лет;32;;;;1;;;31;;8;32;;;
26;29 лет;30;;;;1;;;29;;5;30;;;
27;30–34 года;108;;;;7;;;101;2;33;108;;;
28;35–39 лет;111;;;;11;;;100;;21;111;3;;
29;40 лет и старше;133;;;;23;1;;110;1;23;133;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
