;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);59846;40591;37599;10;143;1;12;9281;2992;5597;10357;16303;474;191;50930;
2;в том числе:       руководящие работники – всего;4610;4579;4030;1;43;;3;19;6;3;651;949;86;60;3786;
3;из них:             директор;1347;1337;1316;1;19;;3;1;1;;222;353;18;5;832;
4;заместители директора;3141;3107;2638;;17;;;10;5;2;420;558;46;8;2838;
5;руководитель филиала;4;4;;;;;;;;;;;;;2;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);36372;33107;32778;8;99;1;4;2908;2792;73;9677;15279;365;122;32564;14133.8
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);31530;28988;28786;8;92;1;4;2283;2225;48;9145;13862;345;120;28235;9373.8
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;9426;7858;7826;;3;;1;1490;1461;41;2503;4273;143;64;9394;9292.7
9;русского языка и литературы;3432;3345;3332;1;23;;;76;76;1;1234;1401;39;8;3361;
10;языка народов России и литературы;2906;2848;2828;;8;;;32;32;2;1225;1329;36;14;2866;
11;истории, экономики, права, обществознания;1708;1674;1660;;19;;1;29;28;;499;717;16;3;1335;
12;информатики;601;577;575;;5;;1;16;15;2;160;261;2;;423;
13;физики;829;814;805;;2;;;13;13;;223;357;8;5;593;
14;математики;2717;2623;2607;1;6;;;70;67;1;656;1251;30;4;2471;
15;химии;546;538;534;3;10;;1;7;6;;203;193;5;;505;
16;географии;824;799;795;2;2;1;;19;19;;262;393;5;2;677;
17;биологии;851;840;835;1;3;;;4;4;;297;387;6;5;771;
18;иностранных языков;3288;3214;3203;;8;;;61;58;;735;1443;37;11;3160;
19;из них:                         английского языка;3216;3140;3124;;7;;;60;57;;701;1399;36;11;3094;
20;немецкого языка;38;38;38;;;;;;;;14;16;;;37;
21;французского языка;26;26;26;;;;;;;;12;9;;;25;
22;китайского языка;4;4;4;;;;;;;;;1;;;3;
23;физической культуры;1715;1492;1478;;;;;212;210;1;478;717;6;2;716;
24;труда (технологии);1102;974;954;;1;;;120;112;;266;496;6;;725;
25;музыки и пения;489;413;407;;;;;73;72;;134;203;4;1;464;
26;изобразительного искусства, черчения;303;277;274;;;;;24;24;;72;130;1;;284;
27;основ безопасности и защиты Родины;328;305;300;;1;;;21;19;;99;140;1;1;48;
28;основ духовно-нравственной культуры народов России;9;9;9;;;;;;;;1;2;;;8;
29;прочих предметов;456;388;364;;1;;;16;9;;98;169;;;434;
30;учителя-логопеды;181;176;174;;;;;3;3;;35;56;;;180;192.3
31;учителя-дефектологи;131;127;127;;;;;4;4;;26;46;1;;124;168.1
32;из них:                   олигофренопедагог;67;65;65;;;;;2;2;;8;30;;;61;61.7
33;тифлопедагог;9;9;9;;;;;;;;5;3;;;9;10.9
34;сурдопедагог;15;15;15;;;;;;;;6;4;;;15;17
35;социальные педагоги;143;132;126;;;;;10;9;;20;41;1;;142;139.8
36;педагоги дополнительного образования;503;430;415;;1;;;60;56;;71;108;2;;364;641.7
37;педагоги-психологи;514;500;488;;4;;;10;9;;97;141;3;;504;473
38;воспитатели;1903;1559;1529;;1;;;324;309;3;166;739;7;1;1727;1834.1
39;мастера производственного обучения;13;10;8;;;;;3;3;;3;2;1;1;7;24
40;тьюторы;116;106;106;;;;;10;10;;3;6;;;115;114.4
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;457;404;385;;;;;47;43;;25;60;5;;429;331.1
42;другие;881;675;634;;1;;;154;121;22;86;218;;;737;838
43;учебно-вспомогательный персонал;2744;1404;547;1;1;;5;737;122;269;24;73;4;1;2474;
44;иной персонал;16120;1501;244;;;;;5617;72;5252;5;2;19;8;12106;
45;из них:             ассистент (помощник);1;1;;;;;;;;;;;;;1;34
46;сурдопереводчик;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;620;485;467;;;;;122;111;;63;268;3;;617;
49;из них воспитатели;543;415;397;;;;;115;102;;45;230;3;;542;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;7;7;7;;;;;;;;;;;;7;
51;из них учителя;7;7;7;;;;;;;;;;;;7;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;1086;966;915;;;;;43;42;;265;331;3;;788;
53;из них учителя - всего;446;423;423;;;;;18;18;;121;161;3;;356;
54;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;143;127;127;;;;;12;12;;25;47;;;113;
55;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;1610;1560;1513;1;5;;2;49;48;;401;559;1;1;1319;
56;Из общей численности учителей-дефектологов (строка 31 графа 3) - учителя, имеющие специальное дефектологическое образование;60;60;;;;;;;;;;;;;;
