;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);59846;4116;2389;4122;5685;6629;36905;41309;4129;2288;3512;3951;3888;23541;18537
2;в том числе:       руководящие работники – всего;4610;86;86;250;459;652;3077;4048;137;130;303;445;498;2535;562
3;из них:             директор;1347;16;19;49;100;140;1023;1341;23;29;75;116;146;952;6
4;заместители директора;3141;69;67;195;349;492;1969;2683;112;100;228;327;348;1568;458
5;руководитель филиала;4;;;;;;4;1;;;;1;;;3
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);36372;3295;1745;2653;3343;3431;21905;36132;3843;2064;3079;3388;3279;20479;240
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);31530;2709;1426;2162;2703;2871;19659;31425;3022;1636;2463;2768;2851;18685;105
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;9426;961;524;632;608;700;6001;9398;1019;577;693;614;712;5783;28
9;русского языка и литературы;3432;237;136;224;295;258;2282;3425;265;144;262;292;263;2199;7
10;языка народов России и литературы;2906;54;32;98;161;234;2327;2904;70;40;106;171;248;2269;2
11;истории, экономики, права, обществознания;1708;183;83;153;164;157;968;1705;208;100;165;172;140;920;3
12;информатики;601;62;31;54;105;93;256;596;74;38;70;92;83;239;5
13;физики;829;56;31;60;70;66;546;825;66;37;68;78;63;513;4
14;математики;2717;244;135;183;230;183;1742;2711;272;153;206;230;189;1661;6
15;химии;546;48;29;35;24;36;374;545;57;35;35;27;36;355;1
16;географии;824;43;22;41;67;66;585;822;46;27;45;76;60;568;2
17;биологии;851;56;33;47;64;84;567;846;61;40;56;66;86;537;5
18;иностранных языков;3288;413;205;293;502;545;1330;3276;434;213;338;512;514;1265;12
19;из них:                         английского языка;3216;404;202;283;493;543;1291;3204;424;211;326;502;514;1227;12
20;немецкого языка;38;3;2;5;4;;24;38;3;2;5;4;;24;
21;французского языка;26;3;;4;4;1;14;26;3;;5;5;;13;
22;китайского языка;4;2;1;;;1;;4;3;;1;;;;
