;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);3768;2349;2052.3
2;в том числе:       руководящие работники – всего;85;48;32.5
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);2687;1869;1420.7
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);2031;1461;994.2
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;142;132;78.9
6;русского языка и литературы;90;85;68.9
7;языка народов России и литературы;70;66;31.7
8;истории, экономики, права, обществознания;129;83;68.5
9;информатики;127;61;55
10;физики;152;83;77.3
11;математики;99;76;53.6
12;химии;146;117;53.5
13;географии;68;43;31.8
14;биологии;98;80;47.3
15;иностранных языков;212;199;96.8
16;из них:                      английского языка;198;186;90.7
17;немецкого языка;;;
18;французского языка;1;1;0.3
19;китайского языка;;;
20;физической культуры;163;52;85.6
21;труда (технологии);89;33;45.7
22;музыки и пения;101;87;43
23;изобразительного искусства, черчения;39;27;14.9
24;основ безопасности и защиты Родины;69;18;24.8
25;основ духовно-нравственной культуры народов России;5;3;2.6
26;прочих предметов;232;216;122.6
27;учителя-логопеды;27;27;11.1
28;учителя-дефектологи;15;14;4.3
29;из них:                олигофренопедагог;2;1;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;5;3;3.5
33;педагоги дополнительного образования;403;223;181.5
34;педагоги-психологи;43;40;25.7
35;воспитатели;33;21;15.2
36;мастера производственного обучения;7;7;5.1
37;тьюторы;8;4;5.3
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;49;30;39.4
39;другие;66;39;127
40;учебно-вспомогательный персонал;152;83;84.5
41;иной персонал;844;349;514.3
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;6;5;1
46;из них воспитатели;5;3;1
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;1;;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;2;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;2;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);95;;
53;из них женщин;75;;
54;в том числе:          врачи всех специальностей;37;;
55;медицинские сестры;58;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;898;;
