;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);88894.92;86941.72;73937.47;60194;6360;1531;3470;6708;6497;59846;1583
2;в том числе:       руководящие работники – всего;5318.55;5222.45;4763.25;4770;393;4;319;548;520;4610;83
3;из них:             директор;1360.1;1342.1;1330.6;1337;71;;56;80;76;1347;13
4;заместители директора;3792.9;3701.3;3273.65;3281;303;3;250;444;422;3141;62
5;руководитель филиала;5;5;5;3;2;;2;;;4;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);57270.58;56518.23;47287.61;36512;4343;710;2877;4364;4251;36372;667
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);47493.51;47115.91;40791.94;31713;3369;544;2235;3543;3449;31530;333
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;11918.1;11863.03;11098.48;9597;817;300;390;979;963;9426;44
9;русского языка и литературы;5864.79;5823.25;5073.23;3413;372;32;280;362;340;3432;36
10;языка народов России и литературы;4580.27;4561.78;3872.65;2919;202;6;162;208;203;2906;15
11;истории, экономики, права, обществознания;2730.43;2706.42;2308.33;1704;219;12;171;207;205;1708;21
12;информатики;968.01;952.49;733.52;590;96;5;68;92;88;601;17
13;физики;1270.65;1258.35;1022.09;833;103;5;77;104;103;829;13
14;математики;4762.08;4716.65;4054.77;2687;331;26;244;311;301;2717;43
15;химии;773.59;761.42;602.21;542;67;4;51;65;64;546;12
16;географии;1251.57;1238.04;997.97;804;98;8;75;74;73;824;12
17;биологии;1254.74;1239.46;1009.8;863;79;11;48;94;91;851;12
18;иностранных языков;4971.93;4931.22;4351.05;3290;454;30;339;448;439;3288;36
19;из них:                         английского языка;4870.6;4829.54;4264.62;3204;428;29;308;419;407;3216;34
20;немецкого языка;51.79;51.79;43.19;44;4;;4;8;8;38;
21;французского языка;28.67;28.67;23.65;28;3;;2;4;4;26;
22;китайского языка;4.5;4.13;3.88;;4;;4;;;4;
23;физической культуры;2438.22;2417.4;2103.48;1780;178;46;100;246;241;1715;13
24;труда (технологии);1797.69;1774.36;1438.79;1113;139;26;83;140;136;1102;15
25;музыки и пения;762.1;750.62;589.79;489;71;18;43;72;67;489;10
26;изобразительного искусства, черчения;514.7;508.34;363.94;298;48;7;35;45;44;303;12
27;основ безопасности и защиты Родины;461.7;451.66;338.85;305;58;5;38;45;44;328;11
