;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование образовательных программ;Численность обучающихся по образовательным программам - всего, чел;Сетевая форма реализации образовательных программ численность обучающихся (из графы 3) по программам, реализуемым с использованием сетевой формы - всего, чел;Сетевая форма реализации образовательных программ число органи-заций, с которыми заключены дого-воры на реализа-цию образователь-ных программ с использованием сетевой формы, единиц , ед;Электронное обучение численность обучающихся (из графы 3) с применением электронного обучения , чел;Электронное обучение в том числе (из графы 6) с применением исключительно электронного обучения, чел;Дистанционные образовательные технологии численность обучающихся (из графы 3) с применением дистанционных образовательных технологий, чел;Дистанционные образовательные технологии в том числе (из графы 8) с применением исключительно дистанционных образовательных технологий, чел
1;Всего по образовательным программам (сумма строк 02, 12, 22, 32);73058;;;1182;;1570;15
2;Образовательные программы начального общего образования;27909;;;378;;473;3
3;из них адаптированные;917;;;3;;17;3
4;в том числе:           для глухих;59;;;;;;
5;для слабослышащих и позднооглохших;7;;;;;;
6;для слепых;2;;;;;;
7;для слабовидящих;14;;;;;;
8;с тяжелыми нарушениями речи;17;;;1;;1;
9;с нарушениями опорно-двигательного аппарата;135;;;;;9;
10;с задержкой психического развития;637;;;2;;6;2
11;с расстройствами аутистического спектра;46;;;;;1;1
12;Образовательные программы основного общего образования;36480;;;655;;901;11
13;из них адаптированные;2386;;;35;;61;11
14;в том числе:           для глухих;82;;;;;;
15;для слабослышащих и позднооглохших;24;;;;;1;
16;для слепых;1;;;;;;
17;для слабовидящих;14;;;;;;
18;с тяжелыми нарушениями речи;25;;;2;;2;
19;с нарушениями опорно-двигательного аппарата;142;;;7;;17;4
20;с задержкой психического развития;2078;;;26;;40;6
21;с расстройствами аутистического спектра;20;;;;;1;1
22;Образовательные программы среднего общего образования;8182;;;149;;196;1
23;из них адаптированные;153;;;3;;18;1
24;в том числе:           для глухих;;;;;;;
25;для слабослышащих и позднооглохших;1;;;;;;
26;для слепых;;;;;;;
27;для слабовидящих;2;;;;;;
28;с тяжелыми нарушениями речи;1;;;;;;
29;с нарушениями опорно-двигательного аппарата;32;;;2;;10;1
30;с задержкой психического развития;116;;;1;;8;
31;с расстройствами аутистического спектра;1;;;;;;
32;Программы образования обучающихся с умственной отсталостью (интеллектуальными нарушениями);487;;;;;;
33;Справочно. Код по ОКЕИ: человек – 792  Из общей численности обучающихся (из графы 3 подраздела 1.3.) – лица, имеющие кохлеарные импланты и обучающиеся по программам:    начального общего образования (из строки 02);526;;;;;;
34;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;16;;;;;;
35;основного общего образования (из строки 12);766;;;;;;
36;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;55;;;;;;
37;среднего общего образования (из строки 22);211;;;;;;
38;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
39;образования обучающихся с умственной отсталостью    (интеллектуальными нарушениями) (из строки 32);111;;;;;;
40;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;53;;;;;;
