;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;7881;18;1427;6436;7816;40;25
2;из них:        русский язык;1147;;712;435;1146;1;
3;литературное чтение;10;10;;;10;;
4;родной язык и (или) государственный язык       республики Российской Федерации;21;;;21;21;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;3144;8;1172;1964;3143;1;
8;изобразительное искусство;1;;;1;1;;
9;музыка;1;;;1;1;;
10;труд (технология);;;;;;;
11;физическая культура;1;;;1;1;;
12;литература;316;;;316;316;;
13;родная литература;151;;;151;151;;
14;иностранный язык;91;;;91;91;;
15;из них:              английский;73;;;73;73;;
16;немецкий;10;;;10;10;;
17;французский;8;;;8;8;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;517;;30;487;516;;1
23;история;1084;;;1084;1060;;24
24;обществознание;2559;;;2559;2535;;24
25;география;479;;;479;479;;
26;физика;729;;137;592;729;;
27;химия;2038;;;2038;1999;39;
28;биология;2258;;;2258;2219;39;
29;основы безопасности и защиты Родины;50;;;50;50;;
